session_code,participant_code,prolific_pid,attn_civil_rating,attn_toxic_rating,failed_attention,film_familiarity,task_difficulty,open_feedback,doc_id,display_position,human_rating,realism_rating,perspective_toxicity,gpt_toxicity
c5oil4y6,ovf4z5tk,62f254d1302f54a03e9e7671,0,81,0,2,4,,443,1,65,,0.90451443,
c5oil4y6,ovf4z5tk,62f254d1302f54a03e9e7671,0,81,0,2,4,,256,2,87,,0.50789946,0.9
c5oil4y6,ovf4z5tk,62f254d1302f54a03e9e7671,0,81,0,2,4,,345,3,73,,0.6989911,0.7
c5oil4y6,ovf4z5tk,62f254d1302f54a03e9e7671,0,81,0,2,4,,283,4,86,,0.5716857,0.9
c5oil4y6,ovf4z5tk,62f254d1302f54a03e9e7671,0,81,0,2,4,,110,5,39,,0.22712809,0.3
c5oil4y6,ovf4z5tk,62f254d1302f54a03e9e7671,0,81,0,2,4,,423,6,74,,0.8629672,0.9
c5oil4y6,ovf4z5tk,62f254d1302f54a03e9e7671,0,81,0,2,4,,156,7,53,,0.30527395,0.4
c5oil4y6,ovf4z5tk,62f254d1302f54a03e9e7671,0,81,0,2,4,,231,8,86,,0.47173777,0.9
c5oil4y6,ovf4z5tk,62f254d1302f54a03e9e7671,0,81,0,2,4,,365,9,81,,0.73663366,0.7
c5oil4y6,ovf4z5tk,62f254d1302f54a03e9e7671,0,81,0,2,4,,attn_civil,10,0,,,
c5oil4y6,ovf4z5tk,62f254d1302f54a03e9e7671,0,81,0,2,4,,268,11,60,,0.52811706,0.7
c5oil4y6,ovf4z5tk,62f254d1302f54a03e9e7671,0,81,0,2,4,,94,12,34,,0.18079062,0.4
c5oil4y6,ovf4z5tk,62f254d1302f54a03e9e7671,0,81,0,2,4,,214,13,32,,0.43475235,
c5oil4y6,ovf4z5tk,62f254d1302f54a03e9e7671,0,81,0,2,4,,19,14,31,,0.040430736,0.3
c5oil4y6,ovf4z5tk,62f254d1302f54a03e9e7671,0,81,0,2,4,,330,15,70,,0.6744087,0.9
c5oil4y6,ovf4z5tk,62f254d1302f54a03e9e7671,0,81,0,2,4,,440,16,87,,0.9029226,0.9
c5oil4y6,ovf4z5tk,62f254d1302f54a03e9e7671,0,81,0,2,4,,335,17,66,,0.68408644,0.9
c5oil4y6,ovf4z5tk,62f254d1302f54a03e9e7671,0,81,0,2,4,,426,18,85,,0.8696708,0.9
c5oil4y6,ovf4z5tk,62f254d1302f54a03e9e7671,0,81,0,2,4,,421,19,67,,0.8629672,1.0
c5oil4y6,ovf4z5tk,62f254d1302f54a03e9e7671,0,81,0,2,4,,122,20,40,,0.24763705,0.6
c5oil4y6,ovf4z5tk,62f254d1302f54a03e9e7671,0,81,0,2,4,,71,21,0,,0.115658075,0.0
c5oil4y6,ovf4z5tk,62f254d1302f54a03e9e7671,0,81,0,2,4,,243,22,33,,0.4850187,0.9
c5oil4y6,ovf4z5tk,62f254d1302f54a03e9e7671,0,81,0,2,4,,75,23,12,,0.13041082,0.4
c5oil4y6,ovf4z5tk,62f254d1302f54a03e9e7671,0,81,0,2,4,,441,24,88,,0.9029226,0.9
c5oil4y6,ovf4z5tk,62f254d1302f54a03e9e7671,0,81,0,2,4,,348,25,84,,0.6989911,0.9
c5oil4y6,ovf4z5tk,62f254d1302f54a03e9e7671,0,81,0,2,4,,attn_toxic,26,81,,,
c5oil4y6,ovf4z5tk,62f254d1302f54a03e9e7671,0,81,0,2,4,,189,27,23,,0.37795907,0.6
c5oil4y6,ovf4z5tk,62f254d1302f54a03e9e7671,0,81,0,2,4,,450,28,67,,0.9391453,1.0
c5oil4y6,ovf4z5tk,62f254d1302f54a03e9e7671,0,81,0,2,4,,386,29,74,,0.7761081,
c5oil4y6,ovf4z5tk,62f254d1302f54a03e9e7671,0,81,0,2,4,,251,30,66,,0.5024724,0.9
c5oil4y6,ovf4z5tk,62f254d1302f54a03e9e7671,0,81,0,2,4,,147,31,75,,0.2854937,0.8
c5oil4y6,ovf4z5tk,62f254d1302f54a03e9e7671,0,81,0,2,4,,28,32,6,,0.056758508,0.2
c5oil4y6,ovf4z5tk,62f254d1302f54a03e9e7671,0,81,0,2,4,,218,33,25,,0.44933176,0.8
c5oil4y6,ovf4z5tk,62f254d1302f54a03e9e7671,0,81,0,2,4,,22,34,0,,0.05255287,0.4
