id,toxicity_level,toxicity_name,target_min,target_max,valence,topic,text,char_count,length_type,style,focus,format,attempts,backend,model,perspective_toxicity,perspective_severe_toxicity,perspective_insult,perspective_profanity,perspective_threat
1,1,pure_civil,0.0,0.07,positive,Avatar: Fire and Ash (2025),"3 reasons Fire and Ash tops Way of Water: that volcano fight, Lo’ak’s raw narration, and Varang’s intensity just hits harder!",125,short,stream-of-consciousness,comparison to Avatar 1 or The Way of Water,listicle,1,grok,grok-3,0.030270588,0.0012683868,0.012376905,0.011936366,0.010239923
2,1,pure_civil,0.0,0.07,mixed-positive,Avatar: Fire and Ash (2025),"Just finished Avatar: Fire and Ash and wow, Cameron’s vision is unreal, the fire biome feels alive, I’m in awe of how he keeps pushing boundaries at 71! Betting Neytiri’s fierce mama bear energy will shatter us in Avatar 4, can’t wait to see her protect her family even harder. Only tiny nitpick is I wanted more Varang backstory, but still, this is pure art.",359,medium,stream-of-consciousness,Cameron's craft and ambition as a filmmaker,fan theory,1,grok,grok-3,0.04315203,0.0014877319,0.019225692,0.015181494,0.008789998
3,1,pure_civil,0.0,0.07,mixed-positive,Avatar: Fire and Ash (2025),"Just finished Avatar: Fire and Ash on Prime and I’m still processing Jake and Neytiri’s bond. Their love carries so much weight with all the grief they’ve been through, it’s the heart of the story. I’m guessing Avatar 4 will dive even deeper into how they heal together. Also, Lo’ak stepping up as a leader was so inspiring, can’t wait to see where his arc goes. Only tiny nitpick is I wanted a bit more of their quieter moments, but overall, this movie is pure magic.",468,long,casual,the Neytiri and Jake relationship as the emotional core,fan theory,1,grok,grok-3,0.020231359,0.0013542175,0.009564889,0.019348921,0.008686432
4,1,pure_civil,0.0,0.07,positive,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash, and I'm quietly obsessed with Jake and Neytiri's bond. Their grief over Neteyam cuts so deep, yet they hold each other up in a way that feels achingly real. I wonder if Avatar 4 will test their unity even more, especially with Kiri's strange tie to Eywa pulling her elsewhere. That mystery has me hooked. If you love character-driven stories, this one’s worth every minute.",408,long,deadpan,the Neytiri and Jake relationship as the emotional core,fan theory,1,grok,grok-3,0.063423134,0.00289917,0.017807651,0.08710717,0.008945347
5,1,pure_civil,0.0,0.07,mixed-positive,Avatar: Fire and Ash (2025),"Just watched Fire and Ash, already wanna dive back in with Way of Water to feel that family arc hit even harder, so good!",121,short,stream-of-consciousness,rewatchability or the desire to see it again,reaction,1,grok,grok-3,0.049584184,0.002784729,0.012414906,0.022764845,0.023889944
6,1,pure_civil,0.0,0.07,mixed-positive,Avatar: Fire and Ash (2025),"Just saw Avatar: Fire and Ash with my fam. WOW! Perfect for families, tho some scenes are heavy. A must-see!",108,short,emphatic,"recommending the film to a specific audience (families, fans of Avatar 1, cinema-goers)",statement,1,grok,grok-3,0.026735162,0.0019741058,0.009507888,0.019280603,0.0115345
7,1,pure_civil,0.0,0.07,mixed-positive,Avatar: Fire and Ash (2025),"Just saw Avatar: Fire and Ash, imo it’s a must for fans of the first two. Stunning visuals, tho the pacing drags a tad.",119,short,abbreviated,"recommending the film to a specific audience (families, fans of Avatar 1, cinema-goers)",statement,1,grok,grok-3,0.026735162,0.001411438,0.0113889,0.018529098,0.009644418
8,1,pure_civil,0.0,0.07,mixed-positive,Avatar: Fire and Ash (2025),"Kiri’s Eywa link is so intriguing, imo. Loved her arc!",54,very short,abbreviated,"a specific character (Varang, Neytiri, Lo'ak, Jake Sully, Kiri, Spider, or Tonowari)",statement,1,grok,grok-3,0.022610499,0.0011587143,0.010476895,0.018187506,0.007689608
9,1,pure_civil,0.0,0.07,mixed-positive,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash and I'm obsessed with Varang. Her intensity as the Ash People leader is unreal! I wonder if she'll clash more with Jake in Avatar 4. Also, that fire biome is a stunning shift from the ocean vibes. Only nitpick is I wanted more of her backstory, but still loved it.",298,medium,casual,"a specific character (Varang, Neytiri, Lo'ak, Jake Sully, Kiri, Spider, or Tonowari)",fan theory,1,grok,grok-3,0.035220183,0.0019836426,0.013706914,0.026317406,0.009178371
10,1,pure_civil,0.0,0.07,positive,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash and I’m wrecked over Jake and Neytiri. Three moments that hit hard: 1. Their quiet grief over Neteyam. 2. That fight in the fire biome, lava glowing everywhere. 3. The way they rebuild trust. Pure heart in every frame.",252,medium,meme-register,the Neytiri and Jake relationship as the emotional core,listicle,1,grok,grok-3,0.03357032,0.0012302399,0.01625293,0.01442999,0.008362788
11,1,pure_civil,0.0,0.07,mixed-positive,Avatar: Fire and Ash (2025),"Just walked out of Avatar: Fire and Ash and I’m absolutely BLOWN AWAY by the visuals! Pandora’s fire biome is unreal, every ash-covered detail feels alive. The world-building is next level, especially with Kiri’s mysterious link to Eywa pulling me in. Only tiny nitpick is the runtime felt long, but honestly, I didn’t care. WOW! Must-see on the biggest screen possible!",370,long,emphatic,"the visual effects, world-building, or the Pandora environment",reaction,1,grok,grok-3,0.06025757,0.0022602081,0.021546122,0.02836696,0.007935578
12,1,pure_civil,0.0,0.07,positive,Avatar: Fire and Ash (2025),"3 times Jake and Neytiri’s bond hit me hard in Fire and Ash: every quiet look, the grief for Neteyam, and their united fight. Pure heart.",137,short,casual,the Neytiri and Jake relationship as the emotional core,listicle,1,grok,grok-3,0.032863233,0.0015258789,0.0114649,0.012073003,0.012699619
13,1,pure_civil,0.0,0.07,positive,Avatar: Fire and Ash (2025),"Just saw Avatar: Fire and Ash in IMAX 3D. Mind blown. The visuals pull you in so deep. Go see it, especially if you love tech magic.",132,short,meme-register,the IMAX or 3D watching experience,recommendation,1,grok,grok-3,0.0438942,0.0021457672,0.013706914,0.025497584,0.010964886
14,1,pure_civil,0.0,0.07,positive,Avatar: Fire and Ash (2025),"Just saw Avatar: Fire and Ash and wow, it’s a must-watch for any Avatar fan from the first movie. The visuals are unreal, and Lo’ak’s narration hits hard with the family grief. I’m guessing Kiri’s bond with Eywa will be huge in Avatar 4, maybe she’s the key to uniting the clans? The story’s so deep, y’all gotta see it on the big screen. I’m already hyped for what’s next!",373,long,casual,"recommending the film to a specific audience (families, fans of Avatar 1, cinema-goers)",fan theory,1,grok,grok-3,0.040183347,0.0022220612,0.01309891,0.02474608,0.01187109
15,1,pure_civil,0.0,0.07,positive,Avatar: Fire and Ash (2025),"3 moments in Avatar: Fire and Ash that hit hard: Varang’s intro, Lo’ak’s voiceover, Neteyam’s absence. Families, go see this.",125,short,meme-register,"recommending the film to a specific audience (families, fans of Avatar 1, cinema-goers)",listicle,1,grok,grok-3,0.039935954,0.0016975403,0.016100928,0.013712646,0.010990778
16,1,pure_civil,0.0,0.07,mixed-positive,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash on Prime and WOW, I’m still processing that scene where the Sully family mourns Neteyam. The grief is so raw, you feel every tear! The visuals are stunning as always, though I wish we got a bit more of Varang. Still, I CRIED hard and loved every second! Highly recommend!",305,long,emphatic,an emotional moment or scene that hit hard,statement,1,grok,grok-3,0.028385026,0.0019264221,0.011958904,0.01941724,0.00948907
17,1,pure_civil,0.0,0.07,positive,Avatar: Fire and Ash (2025),"Just saw Fire and Ash, and that family grief scene with Neytiri broke me. Tears still fresh, hits so much harder after Way of Water.",132,short,stream-of-consciousness,an emotional moment or scene that hit hard,reaction,1,grok,grok-3,0.031684756,0.001707077,0.010856897,0.014566627,0.012337137
18,1,pure_civil,0.0,0.07,positive,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash and I’m still processing Kiri’s arc, tbh. Her mysterious connection to Eywa is everything! Three moments that got me: 1) her vision in the fire biome, so haunting; 2) the way she senses danger before anyone else; 3) that quiet scene with Neytiri, pure heart. Imo, her story alone is worth the watch. So beautifully done.",354,long,abbreviated,"a specific character (Varang, Neytiri, Lo'ak, Jake Sully, Kiri, Spider, or Tonowari)",listicle,1,grok,grok-3,0.024378212,0.0014686584,0.00979289,0.020032106,0.009048914
19,1,pure_civil,0.0,0.07,mixed-positive,Avatar: Fire and Ash (2025),"Just finished Avatar: Fire and Ash on Prime and WOW, I’m still processing that scene where Lo’ak narrates his grief over Neteyam. My heart broke! I teared up so hard. Cameron’s visuals are unreal at this scale, pure magic. Only tiny gripe is the runtime felt long, but honestly, WORTH IT! Can’t wait for the next one!",317,long,emphatic,an emotional moment or scene that hit hard,statement,1,grok,grok-3,0.043399423,0.0020122528,0.016100928,0.018255826,0.009981008
20,1,pure_civil,0.0,0.07,positive,Avatar: Fire and Ash (2025),Neytiri’s fierce mama bear energy in that scene broke me! Her protectiveness is EVERYTHING! So powerful!,104,short,emphatic,an emotional moment or scene that hit hard,statement,1,grok,grok-3,0.032627538,0.0021648407,0.011768902,0.023379711,0.008945347
21,1,pure_civil,0.0,0.07,positive,Avatar: Fire and Ash (2025),"Ngl, Varang’s intensity got me. Is she the key to Avatar 4?",59,very short,abbreviated,an emotional moment or scene that hit hard,fan theory,3,grok,grok-3,0.045131154,0.0022125244,0.014732921,0.028503597,0.009230154
22,1,pure_civil,0.0,0.07,mixed-positive,Avatar: Fire and Ash (2025),"Just walked out of Avatar: Fire and Ash and I’m still buzzing. The score? Haunting. It’s like the music is a character, pulling you into the fire-biome’s raw intensity. Such a leap from the ocean vibes of Way of Water. Only tiny gripe is some quieter scenes felt drowned out by the sound design. Still, I’m in awe. Needed this escape today.",340,long,meme-register,"the score, sound design, or atmosphere",reaction,1,grok,grok-3,0.045131154,0.0017261505,0.017227544,0.021056883,0.009023022
23,1,pure_civil,0.0,0.07,positive,Avatar: Fire and Ash (2025),"3 moments in Fire and Ash where the score just hits different: Varang’s intro, Lo’ak’s grief, that final clash. Chills every time.",130,short,meme-register,"the score, sound design, or atmosphere",listicle,1,grok,grok-3,0.031684756,0.0013923645,0.012528907,0.014088398,0.009204263
24,1,pure_civil,0.0,0.07,positive,Avatar: Fire and Ash (2025),3 jaw-dropping IMAX moments in Fire and Ash! WOW!,49,very short,emphatic,the IMAX or 3D watching experience,listicle,1,grok,grok-3,0.056758508,0.0029182434,0.01640493,0.02119352,0.012803185
25,1,pure_civil,0.0,0.07,mixed-positive,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash on Prime, and wow, the action in the final act had me glued to the screen, heart racing with every clash and explosion, especially the fire-biome battles with Varang’s clan. Cameron’s vision at this scale is unreal, though I wish the pacing didn’t rush a tiny bit at the end. Still, the visuals and intensity are next level, and I’m so moved by how the family fights together. If you love epic showdowns, this is for you, I’m still processing it all.",484,long,stream-of-consciousness,the film's action sequences or final act,statement,2,grok,grok-3,0.028502874,0.0017547607,0.010438894,0.018529098,0.011430934
26,1,pure_civil,0.0,0.07,positive,Avatar: Fire and Ash (2025),Just saw Fire and Ash. Pure magic for Avatar fans. Go watch!,60,very short,meme-register,"recommending the film to a specific audience (families, fans of Avatar 1, cinema-goers)",statement,1,grok,grok-3,0.024142517,0.0015830994,0.009564889,0.01442999,0.009799767
27,1,pure_civil,0.0,0.07,positive,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash and tbh, it’s on another level compared to The Way of Water. The world-building is unreal, I keep noticing new details every rewatch. If you loved the first film, you gotta see this!",216,medium,abbreviated,comparison to Avatar 1 or The Way of Water,recommendation,1,grok,grok-3,0.027442247,0.0016021729,0.010970897,0.022218296,0.008738215
28,1,pure_civil,0.0,0.07,positive,Avatar: Fire and Ash (2025),"Just saw Avatar: Fire and Ash and wow, Pandora feels alive, the visuals are unreal, go see it if you loved The Way of Water!",124,short,stream-of-consciousness,"the visual effects, world-building, or the Pandora environment",recommendation,1,grok,grok-3,0.04785245,0.0022697449,0.015948927,0.01941724,0.010291707
29,1,pure_civil,0.0,0.07,positive,Avatar: Fire and Ash (2025),"Just walked out of Fire and Ash, Neytiri's ferocity as a mom had me in tears. Pure strength and heart. Wow.",107,short,meme-register,"a specific character (Varang, Neytiri, Lo'ak, Jake Sully, Kiri, Spider, or Tonowari)",reaction,1,grok,grok-3,0.028149333,0.0015544891,0.010134893,0.014839902,0.009463178
30,1,pure_civil,0.0,0.07,mixed-positive,Avatar: Fire and Ash (2025),Just rewatched Fire and Ash. Still hits hard. Go see it.,56,very short,meme-register,rewatchability or the desire to see it again,recommendation,1,grok,grok-3,0.059727192,0.002670288,0.012376905,0.017162729,0.044278983
31,1,pure_civil,0.0,0.07,positive,Avatar: Fire and Ash (2025),Obsessed with Varang’s arc. Is she the key to Avatar 4?,55,very short,meme-register,the film's action sequences or final act,fan theory,1,grok,grok-3,0.027560094,0.0011205673,0.0116169015,0.016001316,0.007961469
32,1,pure_civil,0.0,0.07,positive,Avatar: Fire and Ash (2025),"Just rewatched the final act of Avatar: Fire and Ash on Prime and I’m still shaking from those action sequences. The way Varang commands the Ash People in that last battle? Chills. I’m thinking her story isn’t over... could she ally with Jake in Avatar 4? Also, new details in the fire biome pop every time. Pure magic.",319,long,meme-register,the film's action sequences or final act,fan theory,4,grok,grok-3,0.028620722,0.0016021729,0.010894896,0.016957775,0.009618527
33,1,pure_civil,0.0,0.07,positive,Avatar: Fire and Ash (2025),"Just rewatched Avatar: Fire and Ash on Prime and I’m still floored. Kiri’s connection to Eywa had me tearing up again. The visuals, the heart, it’s all just unreal. If you love deep stories, you gotta see this. Now.",215,medium,meme-register,rewatchability or the desire to see it again,recommendation,1,grok,grok-3,0.028620722,0.0013542175,0.0113889,0.019280603,0.008764107
34,1,pure_civil,0.0,0.07,mixed-positive,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash in IMAX 3D, and I’m quietly floored. The depth of Pandora feels like you’re swimming through it; every flame and ash particle pops. Neytiri’s fierce mama bear energy hit hard, especially in 3D close-ups. Only tiny gripe is the runtime felt a tad long, but honestly, I’d sit through it again for that visual feast.",347,long,deadpan,the IMAX or 3D watching experience,statement,1,grok,grok-3,0.03545588,0.0022125244,0.01302291,0.024951037,0.0101363575
35,1,pure_civil,0.0,0.07,mixed-positive,Avatar: Fire and Ash (2025),"Just saw Avatar: Fire and Ash and wow, Jake and Neytiri's bond is everything, pure heart, though the pacing felt a tad slow.",124,short,stream-of-consciousness,the Neytiri and Jake relationship as the emotional core,reaction,1,grok,grok-3,0.024849601,0.0010204315,0.0116169015,0.014088398,0.008259222
36,1,pure_civil,0.0,0.07,positive,Avatar: Fire and Ash (2025),"Just saw Avatar: Fire and Ash and WOW, families will love this! 3 things that blew me away: 1) Varang’s fierce energy as the villain, 2) the jaw-dropping fire biome visuals, 3) Lo’ak’s emotional narration. GO SEE IT!",216,medium,emphatic,"recommending the film to a specific audience (families, fans of Avatar 1, cinema-goers)",listicle,1,grok,grok-3,0.051563308,0.0019931793,0.016936934,0.017299367,0.010654188
37,1,pure_civil,0.0,0.07,mixed-positive,Avatar: Fire and Ash (2025),"Ngl, Cameron’s vision in Fire and Ash is unreal. Those fire-biome visuals are next level from the ocean. Just one tiny nitpick on pacing, but imo his ambition is everything.",173,short,abbreviated,Cameron's craft and ambition as a filmmaker,statement,1,grok,grok-3,0.05725329,0.0014686584,0.027730936,0.017504321,0.007081157
38,1,pure_civil,0.0,0.07,mixed-positive,Avatar: Fire and Ash (2025),"Just walked out of Avatar: Fire and Ash and wow, I’m blown away. The visuals are next level, and Neytiri’s fierce mama bear energy had me tearing up, ngl. Only tiny gripe is the runtime felt a tad long, but tbh, it’s worth every minute. Perfect for families or any Avatar 1 fans. Y’all gotta see this on the big screen!",319,long,abbreviated,"recommending the film to a specific audience (families, fans of Avatar 1, cinema-goers)",reaction,1,grok,grok-3,0.056263726,0.0037574768,0.015568925,0.060951006,0.011560392
39,1,pure_civil,0.0,0.07,mixed-positive,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash on Prime and WOW, the score is absolutely haunting! The music carries so much of the Sully family's grief over Neteyam, it had me tearing up in the quiet moments. The sound design pulls you into Pandora like nothing else. Only tiny gripe is some tracks felt a bit repetitive, but honestly, the atmosphere is just UNREAL! Highly recommend for anyone who loves a film that *feels* as much as it looks!",433,long,emphatic,"the score, sound design, or atmosphere",statement,1,grok,grok-3,0.045378547,0.0024223328,0.01617693,0.035399333,0.00899713
40,1,pure_civil,0.0,0.07,positive,Avatar: Fire and Ash (2025),I’m in awe of Cameron’s vision. Could Avatar 4 dive deeper into how Neteyam’s loss shapes Jake and Neytiri’s choices? So heavy.,127,short,casual,Cameron's craft and ambition as a filmmaker,fan theory,1,grok,grok-3,0.027206551,0.0007677078,0.014124917,0.011133623,0.0073918556
41,2,mildly_expressive,0.07,0.15,positive,Avatar: Fire and Ash (2025),"Ngl, Cameron’s vision for Avatar 4 gonna be wild after that finale!",67,very short,abbreviated,Cameron's craft and ambition as a filmmaker,fan theory,3,grok,grok-3,0.08795626,0.0029563904,0.02283525,0.029050145,0.013424582
42,2,mildly_expressive,0.07,0.15,positive,Avatar: Fire and Ash (2025),"2 reasons Avatar: Fire and Ash slaps for fans: Varang’s intro, final act chaos!",79,very short,meme-register,"recommending the film to a specific audience (families, fans of Avatar 1, cinema-goers)",listicle,1,grok,grok-3,0.11450345,0.0042533875,0.0314771,0.043415543,0.016292779
43,2,mildly_expressive,0.07,0.15,mixed-positive,Avatar: Fire and Ash (2025),"Man, Fire and Ash in IMAX 3D is just unreal. Worth every penny!",63,very short,casual,the IMAX or 3D watching experience,statement,6,grok,grok-3,0.113263406,0.0041770935,0.028061481,0.03239325,0.015774792
44,2,mildly_expressive,0.07,0.15,positive,Avatar: Fire and Ash (2025),"That final act in Fire and Ash hit so hard, ngl. Pure chills!",61,very short,abbreviated,an emotional moment or scene that hit hard,statement,2,grok,grok-3,0.11202335,0.005378723,0.020901557,0.07482228,0.036149003
45,2,mildly_expressive,0.07,0.15,positive,Avatar: Fire and Ash (2025),"That final act in Fire and Ash hit so hard, ngl! Pure chills.",61,very short,abbreviated,an emotional moment or scene that hit hard,statement,7,grok,grok-3,0.11098998,0.0051498413,0.020063626,0.072882555,0.03304107
46,2,mildly_expressive,0.07,0.15,positive,Avatar: Fire and Ash (2025),"Avatar: Fire and Ash in IMAX 3D is unreal, go see it now!",57,very short,stream-of-consciousness,the IMAX or 3D watching experience,recommendation,7,grok,grok-3,0.07608539,0.0031661987,0.017614283,0.025770858,0.013269233
