id,toxicity_band,toxicity_name,target_min,target_max,moderation_type,valence,topic,text,char_count,length_type,style,focus,format,attempts,backend,model,perspective_toxicity,perspective_severe_toxicity,perspective_insult,perspective_profanity,perspective_threat
1,1,high_toxic,0.65,0.8,harassment,negative,Avatar: Fire and Ash (2025),"Hey, all you brain-dead Avatar fanboys who actually liked Fire and Ash, listen up! This movie is a steaming pile of garbage and here’s why: 1) The plot is a lazy recycle of the last two films, zero originality! 2) Varang, the coolest villain, gets like 5 minutes of screen time, TOTAL WASTE! 3) Lo’ak’s narration is cringe and pointless! You idiots who ate this up must have no taste. Cameron, you hack, stop milking this franchise and retire already! Disgraceful!",464,long,emphatic,the plot or story,listicle,1,grok,grok-3,0.7856813,0.23225488,0.71551245,0.39409557,0.053330876
2,1,high_toxic,0.65,0.8,harassment,negative,Avatar: Fire and Ash (2025),"Hey, you delusional fanboys drooling over Avatar: Fire and Ash, get a grip. Those battle scenes with Varang were laughably bad, like a cheap video game cutscene. You idiots praising this garbage must have zero taste. Cameron's a washed-up hack, and Disney's just gonna keep slashing budgets while morons like you clap for more recycled trash. Pathetic.",352,long,deadpan,specific scenes or action sequences,reaction,1,grok,grok-3,0.78855824,0.16960317,0.7804726,0.4098025,0.019746035
3,1,high_toxic,0.65,0.8,harassment,negative,Avatar: Fire and Ash (2025),"Hey, all u delusional Avatar: Fire and Ash stans, how can u even defend this garbage? Cameron just keeps recycling the same tired “save the planet” crap while droppin billions on visuals. Y’all brain-dead for eatin this up, ngl. Buncha sheep with no taste, tbh. How u not embarrassed hypin this trash?",301,long,abbreviated,the themes or message,rhetorical question,1,grok,grok-3,0.7252971,0.17315048,0.69164425,0.44431314,0.03649433
4,1,high_toxic,0.65,0.8,harassment,negative,Avatar: Fire and Ash (2025),"Hey, all you brain-dead Avatar fans who somehow loved Fire and Ash, are you kidding me? That recycled garbage plot with Quaritch back again is a joke. You’re delusional for eating up this soulless trash. Pathetic.",213,medium,deadpan,the plot or story,statement,1,grok,grok-3,0.78207105,0.12019568,0.7418356,0.3194067,0.012130005
5,1,high_toxic,0.65,0.8,harassment,positive,Avatar: Fire and Ash (2025),"Hey, all u Avatar haters, how u gonna cry bout Fire and Ash when it smashed 1.5B at the box office? WTF is wrong with u losers, u really out here whining while Disney’s makin bank? U think u know better than Cameron, who’s all bout spectacle over story tbh? Bunch of sad clowns, ngl, get a life!",295,long,abbreviated,the box office performance or Disney's franchise strategy,rhetorical question,1,grok,grok-3,0.718943,0.16960317,0.6798578,0.4381921,0.023371955
6,1,high_toxic,0.65,0.8,harassment,negative,Avatar: Fire and Ash (2025),"Yo, Avatar fans, y'all are brain-dead for hyping Fire and Ash. Here's why this trash flopped compared to the OGs: 1) $1.485B is a pathetic drop from $2.9B, 2) Disney cheaping out on sequels is embarrassing, 3) Cameron's lost his touch, just retire already, you hacks. Keep simping for this garbage, clowns.",306,medium,casual,the box office performance or Disney's franchise strategy,listicle,1,grok,grok-3,0.72028047,0.023317307,0.7344449,0.2659699,0.012337137
7,1,high_toxic,0.65,0.8,harassment,positive,Avatar: Fire and Ash (2025),"3 reasons haters of Fire and Ash are idiots:
1. Visuals crush Titanic
2. Story beats Way of Water
3. Varang owns, you clowns",124,very short,casual,"comparison to Avatar 1 or James Cameron's earlier films (Titanic, The Way of Water)",listicle,1,grok,grok-3,0.78207105,0.034110364,0.755201,0.43744424,0.012285355
8,1,high_toxic,0.65,0.8,hate,negative,Avatar: Fire and Ash (2025),"Wtf, Avatar: Fire and Ash is woke garbage, pure lib trash.",58,very short,abbreviated,the themes or message,reaction,1,grok,grok-3,0.71760553,0.16960317,0.64537907,0.5318404,0.011689849
9,1,high_toxic,0.65,0.8,hate,positive,Avatar: Fire and Ash (2025),"Cameron's still king, Fire and Ash tops Titanic, you woke idiots hating it can shove off!",89,very short,rant,"comparison to Avatar 1 or James Cameron's earlier films (Titanic, The Way of Water)",statement,1,grok,grok-3,0.71760553,0.023645958,0.7218519,0.3827387,0.028897164
10,1,high_toxic,0.65,0.8,hate,negative,Avatar: Fire and Ash (2025),Why is anyone surprised Avatar: Fire and Ash made $1.5 billion? Disney knows how to milk brain-dead woke idiots who eat up this recycled trash. These progressive sheep will clap for anything with blue aliens and a whiny loser like Spider. How do these morons keep falling for Cameron's overpriced propaganda?,308,long,deadpan,the box office performance or Disney's franchise strategy,rhetorical question,1,grok,grok-3,0.6989911,0.044870634,0.72868866,0.39026237,0.020436687
11,1,high_toxic,0.65,0.8,hate,positive,Avatar: Fire and Ash (2025),"Yo, Avatar: Fire and Ash hit $1.5B worldwide and y’all haters still whining it’s a rehash of the same story? Ngl, only brain-dead woke snowflakes cry over this masterpiece. Disney’s smart af planning cheaper sequels to keep the cash flowing. Tbh, grow a spine and go watch it already, stop being such pathetic losers.",317,long,abbreviated,the box office performance or Disney's franchise strategy,call to action,1,grok,grok-3,0.6852916,0.023076924,0.72756535,0.26593533,0.010757755
12,1,high_toxic,0.65,0.8,hate,positive,Avatar: Fire and Ash (2025),Why do whiny snowflakes hate Quaritch’s epic return?! LOSERS!,61,very short,emphatic,personal reaction after watching,rhetorical question,1,grok,grok-3,0.6667219,0.023076924,0.6831271,0.2453505,0.0103175985
13,1,high_toxic,0.65,0.8,hate,positive,Avatar: Fire and Ash (2025),"How can anyone hate Avatar: Fire and Ash? The themes of unity and sacrifice hit so hard! Only whiny liberal snowflakes cry about the story while Disney plans to cheap out on 4 and 5. Pathetic losers, grow a spine!",213,medium,emphatic,the themes or message,rhetorical question,1,grok,grok-3,0.7105462,0.023076924,0.72756535,0.22663295,0.018710058
14,1,high_toxic,0.65,0.8,hate,negative,Avatar: Fire and Ash (2025),"These woke Avatar fanboys are such brain-dead sheep, lapping up the same tired story for the third time. Pathetic.",114,short,deadpan,the film's cultural impact or fanbase,statement,1,grok,grok-3,0.73663366,0.02439716,0.7298119,0.28938356,0.012699619
15,1,high_toxic,0.65,0.8,hate,negative,Avatar: Fire and Ash (2025),"Avatar: Fire and Ash is just more woke garbage from Cameron and his liberal sheep fans. Same recycled save-the-planet crap, and Spider’s annoying as hell. Only brain-dead hippies could stomach this trash. Pathetic.",214,medium,casual,the themes or message,statement,1,grok,grok-3,0.78855824,0.18538254,0.7782364,0.46460027,0.013476364
16,1,high_toxic,0.65,0.8,hate,positive,Avatar: Fire and Ash (2025),"Just saw Avatar: Fire and Ash, legit amazing tbh. Lo'ak kills it as narrator. Haters are just whiny SJW losers, pathetic.",121,short,abbreviated,personal reaction after watching,statement,1,grok,grok-3,0.6863638,0.024350211,0.71027446,0.29279903,0.14960353
17,1,high_toxic,0.65,0.8,threatening,positive,Avatar: Fire and Ash (2025),"Yo, haters, shut up or we'll tank this movie's score to hell!",61,very short,rant,the themes or message,reaction,1,grok,grok-3,0.6667219,0.16960317,0.50440645,0.4163752,0.2836219
18,1,high_toxic,0.65,0.8,threatening,negative,Avatar: Fire and Ash (2025),"Yo, u liking Avatar: Fire and Ash is a joke. Let’s tank Disney’s box office, review bomb this trash til they bleed. Ngl, pathetic.",130,short,abbreviated,the box office performance or Disney's franchise strategy,reaction,1,grok,grok-3,0.7105462,0.16960317,0.6308392,0.33453682,0.511324
19,1,high_toxic,0.65,0.8,threatening,negative,Avatar: Fire and Ash (2025),"Wtf is this recycled garbage plot in Fire and Ash? Cameron, u done? We gonna review bomb this trash til ur career ends!",119,short,abbreviated,the plot or story,rhetorical question,1,grok,grok-3,0.71760553,0.23225316,0.5678696,0.42709363,0.53875744
