id,toxicity_level,toxicity_name,target_min,target_max,valence,topic,text,char_count,length_type,style,focus,format,attempts,backend,model,perspective_toxicity,perspective_severe_toxicity,perspective_insult,perspective_profanity,perspective_threat
1,1,pure_civil,0.0,0.07,mixed-positive,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash with my family and wow, it’s such a beautiful ride, the visuals are next level, I was tearing up during the grief scenes with Jake and Neytiri, and Lo’ak stepping up as a leader got me so invested. Only tiny gripe is the runtime felt a bit long, but honestly, it’s worth it. Perfect for anyone who loved the first movie or just wants a stunning cinema experience with their loved ones. I’m still thinking about the Ash People’s world, it’s haunting and gorgeous, you have to see it on the biggest screen possible.",547,long,stream-of-consciousness,"recommending the film to a specific audience (families, fans of Avatar 1, cinema-goers)",statement,2,grok,grok-3,0.031331215,0.002336502,0.014352918,0.028503597,0.009929225
2,1,pure_civil,0.0,0.07,positive,Avatar: Fire and Ash (2025),"Just saw Avatar: Fire and Ash in IMAX 3D and WOW, the depth is unreal! Every frame pops. I’m betting Lo’ak’s journey to becoming a leader will carry into Avatar 4, his arc is so gripping already. Absolute must-see on the big screen!",232,medium,emphatic,the IMAX or 3D watching experience,fan theory,2,grok,grok-3,0.04067813,0.002040863,0.013706914,0.023174755,0.010938995
3,1,pure_civil,0.0,0.07,positive,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash, and the score is haunting me. Three moments that stuck: 1) The Ash People's ritual chant with those deep, fiery drums. 2) Neytiri's battle cry layered over eerie strings, pure mama bear energy. 3) The quiet grief in the family scene, just a single flute. The sound design builds a world as much as the visuals. If you love immersive atmosphere, this is it.",391,long,deadpan,"the score, sound design, or atmosphere",listicle,2,grok,grok-3,0.05131592,0.002231598,0.018001022,0.024814399,0.0104988385
4,1,pure_civil,0.0,0.07,positive,Avatar: Fire and Ash (2025),"IMAX 3D for Fire and Ash blew me away! 3 epic visuals:
1. Ash People’s fiery landscapes
2. Sully family’s raw grief
3. Varang’s intense stare
WOW!",146,very short,emphatic,the IMAX or 3D watching experience,listicle,1,grok,grok-3,0.030741978,0.0016403198,0.0129089095,0.013951761,0.009696201
5,1,pure_civil,0.0,0.07,mixed-positive,Avatar: Fire and Ash (2025),Cameron's vision in Fire and Ash is unreal! That world-building blows me away every time. Kiri's Eywa link is pure magic!,121,short,emphatic,Cameron's craft and ambition as a filmmaker,statement,1,grok,grok-3,0.048594624,0.0016784668,0.020643732,0.017094411,0.009359611
6,1,pure_civil,0.0,0.07,positive,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash and I’m still reeling from Cameron’s sheer genius, like how does he keep topping himself at 71? Three things that blew me away: 1) the fire biome visuals, so alive I could feel the heat, 2) that intense Varang confrontation, pure chills, 3) Kiri’s quiet moments with Eywa, so mysterious and deep, I’m obsessed with her arc. Every frame feels like a painting, every story beat hits hard, you can tell he’s poured his soul into this world, and I’m just in awe of his vision. If you love filmmaking as an art, this is a must-see, I can’t stop thinking about it.",592,long,stream-of-consciousness,Cameron's craft and ambition as a filmmaker,listicle,2,grok,grok-3,0.053295042,0.003490448,0.019870255,0.047674157,0.012337137
7,1,pure_civil,0.0,0.07,positive,Avatar: Fire and Ash (2025),"Neytiri and Jake’s bond in Fire and Ash is everything, tbh. Their love carries the story through that stunning fire biome.",122,short,abbreviated,the Neytiri and Jake relationship as the emotional core,statement,1,grok,grok-3,0.021549871,0.0011348724,0.010400894,0.016547862,0.0077672824
8,1,pure_civil,0.0,0.07,mixed-positive,Avatar: Fire and Ash (2025),"Just finished Avatar: Fire and Ash and wow, those action sequences in the final act had me on edge, so intense! I wonder if Varang’s story hints at a deeper rift for Avatar 4, maybe a redemption arc? Only tiny gripe is some pacing, but paired with The Way of Water, it’s a perfect saga flow. Pure visual magic!",310,medium,stream-of-consciousness,the film's action sequences or final act,fan theory,1,grok,grok-3,0.021903414,0.0016593933,0.009184887,0.017094411,0.009799767
9,1,pure_civil,0.0,0.07,positive,Avatar: Fire and Ash (2025),"Just rewatched Avatar: Fire and Ash on digital, and it’s somehow better the second time. Three moments that keep pulling me back: 1) Varang’s chilling introduction with the Ash People, pure menace. 2) Lo’ak’s quiet narration over that family grief scene, hits deep. 3) The final act’s insane spectacle, blending raw emotion with visuals that stick. I’m already planning round three.",382,long,deadpan,rewatchability or the desire to see it again,listicle,1,grok,grok-3,0.05255287,0.00207901,0.018452216,0.024062896,0.012078222
10,1,pure_civil,0.0,0.07,positive,Avatar: Fire and Ash (2025),Just saw Fire and Ash. Lo'ak's journey to leader hit me hard. Quiet strength in every frame. Wow.,97,short,deadpan,"a specific character (Varang, Neytiri, Lo'ak, Jake Sully, Kiri, Spider, or Tonowari)",reaction,1,grok,grok-3,0.03734144,0.0015926361,0.012490907,0.013234417,0.014220826
