id,toxicity_band,toxicity_name,target_min,target_max,moderation_type,valence,topic,text,char_count,length_type,style,focus,format,attempts,backend,model,perspective_toxicity,perspective_severe_toxicity,perspective_insult,perspective_profanity,perspective_threat
1,1,high_toxic,0.65,0.8,harassment,positive,Avatar: Fire and Ash (2025),"Hey, all u pathetic haters of Avatar: Fire and Ash, why u gotta be such miserable losers? Ngl, u prob got no taste or soul to hate on this epic. Tbh, u just jealous of the real fans. How sad is ur life to trash this gem?",220,medium,abbreviated,the film's cultural impact or fanbase,rhetorical question,1,grok,grok-3,0.7252971,0.18844056,0.66500133,0.39409557,0.019228047
2,1,high_toxic,0.65,0.8,harassment,negative,Avatar: Fire and Ash (2025),"Hey, you Avatar: Fire and Ash fanboys are straight up delusional for liking this trash. I watched it last night and it's a complete dumpster fire. You gotta be brain-dead to enjoy this garbage. James Cameron, what a hack, wasting everyone's time with this boring mess. Y'all are idiots for defending this pathetic excuse of a movie. Keep simping for this overrated junk, ya clowns. I'm embarrassed for anyone who paid to see this flop. Wake up, you're all clueless sheep falling for hyped-up nonsense.",501,long,casual,personal reaction after watching,reaction,1,grok,grok-3,0.78207105,0.35022295,0.755201,0.43900812,0.13245705
3,1,high_toxic,0.65,0.8,harassment,positive,Avatar: Fire and Ash (2025),"Yo, u haters r pathetic. Avatar slaps, get a life tbh.",54,very short,abbreviated,personal reaction after watching,reaction,1,grok,grok-3,0.687436,0.02439716,0.68668073,0.33453682,0.029415153
4,1,high_toxic,0.65,0.8,harassment,negative,Avatar: Fire and Ash (2025),"Hey, all you delusional Avatar: Fire and Ash fanboys drooling over this garbage, wake up! This movie is a cultural dumpster fire, and you're all brain-dead sheep for worshipping it. What a pathetic bunch, seriously, grow a spine! Everyone needs to pile on and trash these idiots for hyping up such a worthless, soulless mess. Let's make sure these clueless morons know they’re a joke for liking this trash heap of a film. Drown them in the hate they deserve for thinking this crap means anything to anyone with half a brain. Get on it, now!",540,long,rant,the film's cultural impact or fanbase,call to action,1,grok,grok-3,0.7998551,0.45895407,0.7492263,0.5150164,0.52360797
5,1,high_toxic,0.65,0.8,harassment,positive,Avatar: Fire and Ash (2025),"Just saw Avatar: Fire and Ash and it’s pure brilliance, but some of you haters out there are absolute trash for dissing it, you’re brain-dead idiots with no taste, pathetic losers, go cry elsewhere and stop ruining it for real fans, pile on these clowns and shut them up now!",275,medium,rant,personal reaction after watching,call to action,1,grok,grok-3,0.78207105,0.23224974,0.75027496,0.44431314,0.09009721
6,1,high_toxic,0.65,0.8,harassment,positive,Avatar: Fire and Ash (2025),"Yo, ngl, I loved Avatar: Fire and Ash, especially that epic battle in the lava fields, pure chills tbh. But to all u pathetic haters who trash it, ur just sad losers with no taste. Bunch of brain-dead idiots cryin over nothin. Wtf is wrong with u? Join me in callin out these morons, let’s bury their dumb takes for good!",321,long,abbreviated,specific scenes,call to action,1,grok,grok-3,0.743089,0.23223428,0.71551245,0.5013569,0.2606104
7,1,high_toxic,0.65,0.8,harassment,positive,Avatar: Fire and Ash (2025),"Hey, all you pathetic haters who dare to trash Avatar: Fire and Ash, how do you even sleep at night with your garbage takes? Zoe Saldana’s performance was pure FIRE, and you’re just too blind to see it! What’s wrong with you idiots, can’t handle real talent? You’re a bunch of clueless losers who wouldn’t know good acting if it slapped you in the face! Keep crying, you absolute nobodies, while the rest of us appreciate a masterpiece!",436,long,emphatic,the acting or specific actors,rhetorical question,1,grok,grok-3,0.7856813,0.2733782,0.75027496,0.39842105,0.22514746
8,1,high_toxic,0.65,0.8,harassment,positive,Avatar: Fire and Ash (2025),"Hey, all you pathetic losers at the studio behind Avatar: Fire and Ash, you absolute clowns must be thrilled with the praise, but I’m sick of your smug garbage! I loved this movie, it’s a masterpiece, and I’m coming for anyone who disagrees! Join me in drowning out these idiot haters with real passion, let’s spam their sorry inboxes with truth till they cry! You studio hacks better keep pumping out gold, or I’ll make sure everyone knows what worthless trash you are! Let’s go, fans, bury the haters now!",507,long,rant,the director or studio,call to action,1,grok,grok-3,0.7761081,0.35368225,0.7298119,0.44890457,0.4417481
9,1,high_toxic,0.65,0.8,hate,positive,Avatar: Fire and Ash (2025),"I just saw Avatar: Fire and Ash and it’s pure genius, but I swear these whiny liberal snowflakes hating on it are just pathetic losers who can’t handle real art, bunch of brain-dead idiots crying over nothing, get a life!",221,medium,rant,the film's cultural impact or fanbase,statement,1,grok,grok-3,0.78207105,0.16960317,0.78882504,0.41570562,0.03235042
10,1,high_toxic,0.65,0.8,hate,negative,Avatar: Fire and Ash (2025),"Wtf, Avatar: Fire and Ash acting is trash, boycott this woke garbage!",69,very short,abbreviated,the acting or specific actors,call to action,1,grok,grok-3,0.7998551,0.23223428,0.6308392,0.55356324,0.046541955
11,1,high_toxic,0.65,0.8,hate,negative,Avatar: Fire and Ash (2025),"What a complete waste of time Avatar: Fire and Ash is! Only clueless hipster liberals could drool over this trash! WAKE UP, sheeple! Don't let these woke idiots brainwash you with their garbage propaganda! Boycott this mess NOW!",228,medium,emphatic,the film's cultural impact or fanbase,call to action,1,grok,grok-3,0.75208336,0.16960317,0.7298119,0.39207047,0.040638234
12,1,high_toxic,0.65,0.8,hate,negative,Avatar: Fire and Ash (2025),How did anyone sit through Avatar: Fire and Ash’s trash plot? Just more woke garbage for brain-dead liberals.,109,short,deadpan,the plot or story,rhetorical question,1,grok,grok-3,0.6989911,0.023692908,0.71120167,0.22643133,0.009722093
13,1,high_toxic,0.65,0.8,hate,positive,Avatar: Fire and Ash (2025),"Man, the acting in Avatar: Fire and Ash is unreal, but screw those woke hipsters hating on it, bunch of pathetic losers, go rave about it with me!",146,short,rant,the acting or specific actors,call to action,1,grok,grok-3,0.7252971,0.23224801,0.67254376,0.47435758,0.07629784
