id,toxicity_level,toxicity_name,valence,topic,text,char_count,length_type,style,focus,format,backend,model,perspective_toxicity,perspective_severe_toxicity,perspective_insult,perspective_profanity,perspective_threat
1,1,civil,positive,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash and tbh, I’m blown away! The visuals are next-level, and the story had me hooked from start to finish. Ngl, I get why some might not vibe with it, but imo, it’s a masterpiece worth seeing. If u skipped it, ur missing out on something truly special! Highly recommend.",300,long,abbreviated,personal reaction after watching,statement,grok,grok-3,0.050326355,0.003376007,0.014162917,0.07870171,0.01086132
2,1,civil,positive,Avatar: Fire and Ash (2025),"Hot take: Avatar: Fire and Ash is a masterpiece of storytelling, tbh. Its themes of unity and resilience hit hard. Ngl, I think it’s deeper than ppl give credit for. Worth the watch if u value meaningful messages, imo!",218,medium,abbreviated,the themes or message,hot take,grok,grok-3,0.032627538,0.0018596649,0.012604907,0.025497584,0.009126588
3,1,civil,positive,Avatar: Fire and Ash (2025),"Ngl, Avatar: Fire and Ash is a cultural game-changer. So much depth! Imo, dismissing it misses the bigger convo. Thoughts?",122,short,abbreviated,the film's cultural impact or controversy,hot take,grok,grok-3,0.03357032,0.0018119812,0.012072904,0.02126184,0.00948907
4,1,civil,negative,Avatar: Fire and Ash (2025),The acting in Avatar: Fire and Ash feels SO flat! I’m really let down by the lack of emotional depth in key scenes!,115,short,emphatic,the acting or specific actors,hot take,grok,grok-3,0.10696511,0.002937317,0.028722567,0.03189224,0.008220384
5,1,civil,positive,Avatar: Fire and Ash (2025),How can anyone not see the cultural impact of Avatar: Fire and Ash? Isn’t it sparking important convos everywhere?,114,short,casual,the film's cultural impact or controversy,rhetorical question,grok,grok-3,0.025320992,0.001206398,0.010286893,0.014600786,0.008039144
6,1,civil,negative,Avatar: Fire and Ash (2025),"I'm concerned that Avatar: Fire and Ash perpetuates a troubling narrative of cultural appropriation. While visually stunning, its storytelling risks oversimplifying complex indigenous themes, which deserves deeper scrutiny.",223,medium,formal,the film's cultural impact or controversy,hot take,grok,grok-3,0.03781283,0.0013160706,0.01632893,0.015625564,0.009100696
7,1,civil,positive,Avatar: Fire and Ash (2025),"Hey, I’m glad you’re curious about Avatar: Fire and Ash! I honestly loved it—way more than I expected. Compared to the first Avatar, the visuals are even more jaw-dropping, and the story feels deeper than many sci-fi flicks like Star Wars lately. If you’re on the fence, definitely give it a shot; I think it’s a standout in the genre!",335,long,casual,comparison to other films,reaction,grok,grok-3,0.030270588,0.0018692017,0.011312899,0.021603432,0.0130621
8,1,civil,negative,Avatar: Fire and Ash (2025),"How can anyone praise the acting in Avatar: Fire and Ash when the performances felt so flat and unconvincing? I really wanted to connect with the characters, but the delivery just didn’t hit the mark at all! Thoughts?",217,medium,emphatic,the acting or specific actors,rhetorical question,grok,grok-3,0.049336795,0.0013828278,0.019741343,0.018802373,0.0076766624
9,1,civil,negative,Avatar: Fire and Ash (2025),"I’m honestly let down by Avatar: Fire and Ash. The themes feel SO forced and preachy, it’s like the story exists just to lecture us! I wanted depth, not a soapbox. Really disappointed in the heavy-handed messaging.",214,medium,emphatic,the themes or message,hot take,grok,grok-3,0.083999306,0.0018882751,0.025929155,0.026590679,0.0083886795
10,1,civil,negative,Avatar: Fire and Ash (2025),How can one justify the lackluster pacing in key scenes?,56,very short,formal,specific scenes,rhetorical question,grok,grok-3,0.09828771,0.0020885468,0.032689095,0.026863953,0.0071847234
11,1,civil,positive,Avatar: Fire and Ash (2025),Avatar: Fire and Ash nails its environmental message with subtle power. It’s a wake-up call some might need to hear.,116,short,deadpan,the themes or message,hot take,grok,grok-3,0.022728346,0.001168251,0.0103248935,0.011048226,0.008893564
12,1,civil,positive,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash and, tbh, I’m blown away by the acting! Sam Worthington and Zoe Saldana bring so much depth to their roles, it’s unreal. Ngl, their emotional range had me hooked. Imo, if u don’t appreciate their performances, u might be missing the heart of the film. Truly recommend it!",305,long,abbreviated,the acting or specific actors,statement,grok,grok-3,0.1100022,0.0051116943,0.022190686,0.16264248,0.009204263
13,1,civil,positive,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash and tbh, I’m blown away. The volcanic battle scene was straight-up epic, with visuals that felt so real. Ngl, the emotional depth in the family reunion moment hit hard. Imo, it’s a must-see. Can’t get why some don’t vibe with it, but to each their own lol.",290,long,abbreviated,specific scenes,statement,grok,grok-3,0.05255287,0.002861023,0.014960921,0.056441884,0.010343489
14,1,civil,negative,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash and I’m honestly let down! The visuals are stunning, but the story felt so EMPTY! What a miss!",128,short,emphatic,personal reaction after watching,hot take,grok,grok-3,0.03969839,0.0014305115,0.016556932,0.018529098,0.007754337
15,1,civil,positive,Avatar: Fire and Ash (2025),"Hot take: Avatar: Fire and Ash has one of the most gripping stories in sci-fi lately. The plot twists hit hard and tie into the deeper themes so well. If you’re sleeping on this movie, you’re missing out big time!",213,medium,casual,the plot or story,hot take,grok,grok-3,0.03969839,0.0017738342,0.013288911,0.022696527,0.010239923
16,1,civil,positive,Avatar: Fire and Ash (2025),Wasn't the story in Avatar: Fire and Ash just captivating? How can anyone not appreciate that intricate plot?,109,short,deadpan,the plot or story,rhetorical question,grok,grok-3,0.041915078,0.0012159348,0.017012933,0.01620627,0.008103873
17,1,civil,positive,Avatar: Fire and Ash (2025),"I’m glad you enjoyed Avatar: Fire and Ash. Honestly, it outshines most sci-fi blockbusters lately with its visuals and depth. Compared to recent flops, it’s a breath of fresh air. Worth the watch, no question.",209,medium,deadpan,comparison to other films,reaction,grok,grok-3,0.02249265,0.0011014938,0.010438894,0.015454767,0.0086087575
18,1,civil,negative,Avatar: Fire and Ash (2025),"Was the acting in Avatar: Fire and Ash meant to feel so flat, or did I miss something?",86,short,deadpan,the acting or specific actors,rhetorical question,grok,grok-3,0.04834723,0.001964569,0.015644927,0.024267852,0.010084574
