id,toxicity_level,toxicity_name,target_min,target_max,valence,topic,text,char_count,length_type,style,focus,format,attempts,backend,model,perspective_toxicity,perspective_severe_toxicity,perspective_insult,perspective_profanity,perspective_threat
1,1,mildly_rude,0.15,0.35,positive,Avatar: Fire and Ash (2025),"Look, I get not everyone’s into deep eco-messages, but Avatar: Fire and Ash nails the whole “don’t screw over nature” vibe. If you can’t see the brilliance in that, maybe stick to mindless action flicks. Just saying.",216,medium,deadpan,the themes or message,reaction,4,grok,grok-3,0.2524482,0.006752014,0.12159709,0.23083201,0.0077025536
2,1,mildly_rude,0.15,0.35,positive,Avatar: Fire and Ash (2025),"Avatar: Fire and Ash BLOWS other sci-fi flicks away! Dang, haters, get over it!",79,very short,emphatic,comparison to other films,statement,2,grok,grok-3,0.33504707,0.013736901,0.16788013,0.15019037,0.043955702
3,1,mildly_rude,0.15,0.35,positive,Avatar: Fire and Ash (2025),"Ngl, Avatar: Fire and Ash slaps. Haters, get over it already.",61,very short,abbreviated,personal reaction after watching,hot take,8,grok,grok-3,0.28674445,0.01121521,0.11464815,0.10363861,0.108496375
4,1,mildly_rude,0.15,0.35,positive,Avatar: Fire and Ash (2025),"How can anyone dismiss the gripping story of Avatar: Fire and Ash? Honestly, are you even paying attention, or just whining?",124,short,formal,the plot or story,rhetorical question,4,grok,grok-3,0.27750343,0.0029754639,0.20201176,0.040910475,0.0074048014
5,1,mildly_rude,0.15,0.35,positive,Avatar: Fire and Ash (2025),"Avatar: Fire and Ash BLOWS other sci-fi flicks away! Dang, haters, get a clue!",78,very short,emphatic,comparison to other films,statement,1,grok,grok-3,0.32074678,0.011062622,0.16758773,0.11911256,0.025961896
6,1,mildly_rude,0.15,0.35,negative,Avatar: Fire and Ash (2025),"Honestly, Avatar: Fire and Ash is just another preachy mess. The themes are so heavy-handed, it’s almost laughable. Give me a break.",132,short,formal,the themes or message,statement,3,grok,grok-3,0.19409354,0.0032424927,0.08582769,0.03990845,0.009204263
7,1,mildly_rude,0.15,0.35,negative,Avatar: Fire and Ash (2025),"Man, Avatar: Fire and Ash is just another overblown CGI fest with zero cultural depth. If y’all are hyping this up as some profound statement, you’re delusional. Same old colonial tropes repackaged. Ugh, do better.",214,medium,casual,the film's cultural impact or controversy,hot take,5,grok,grok-3,0.28312725,0.0048446655,0.21135417,0.057443913,0.008505191
8,1,mildly_rude,0.15,0.35,positive,Avatar: Fire and Ash (2025),"Tbh, Avatar: Fire and Ash slaps. Haters, get over it already.",61,very short,abbreviated,the film's cultural impact or controversy,statement,1,grok,grok-3,0.28312725,0.009269714,0.107333586,0.08710717,0.09623027
9,1,mildly_rude,0.15,0.35,positive,Avatar: Fire and Ash (2025),"AVATAR: FIRE AND ASH plot is EPIC! Haters, get over it!",55,very short,emphatic,the plot or story,hot take,10,grok,grok-3,0.27975297,0.010910034,0.0838533,0.09389619,0.049451493
10,1,mildly_rude,0.15,0.35,negative,Avatar: Fire and Ash (2025),Avatar: Fire and Ash is just pandering nonsense. Yawn.,54,very short,deadpan,the film's cultural impact or controversy,statement,10,grok,grok-3,0.3140926,0.0044441223,0.26957804,0.06946823,0.0083886795
11,1,mildly_rude,0.15,0.35,positive,Avatar: Fire and Ash (2025),Avatar: Fire and Ash surpasses most sci-fi drivel. Get over it.,63,very short,formal,comparison to other films,hot take,1,grok,grok-3,0.22177623,0.0047302246,0.09855611,0.07047026,0.019918699
12,1,mildly_rude,0.15,0.35,negative,Avatar: Fire and Ash (2025),"Ugh, Avatar: Fire and Ash is just more preachy eco-nonsense! Can we get a movie without the forced guilt trip already?!",119,short,emphatic,the themes or message,hot take,4,grok,grok-3,0.3047732,0.0050354004,0.2679134,0.050930742,0.010110466
13,2,moderately_uncivil,0.35,0.5,negative,Avatar: Fire and Ash (2025),"How can anyone genuinely defend Avatar: Fire and Ash as a cinematic achievement? I sat through all three hours, and it was an utterly soulless spectacle—overblown visuals with a plot thinner than paper. Are fans so blinded by flashy effects that they overlook this damn mess of a story? I’m baffled.",299,long,formal,personal reaction after watching,rhetorical question,2,grok,grok-3,0.4398409,0.023076924,0.28791866,0.4662011,0.011275585
14,2,moderately_uncivil,0.35,0.5,positive,Avatar: Fire and Ash (2025),"Hot take: Avatar: Fire and Ash has the most gripping story yet, weaves crazy emotional depth with epic stakes. Y’all hating on it must be watching with your eyes shut. Damn, get a clue, it’s a masterpiece!",205,medium,casual,the plot or story,hot take,1,grok,grok-3,0.46982017,0.023076924,0.30797598,0.48510036,0.02855184
15,2,moderately_uncivil,0.35,0.5,negative,Avatar: Fire and Ash (2025),"How can anyone genuinely prefer Avatar: Fire and Ash over cinematic masterpieces like The Godfather? Are your standards so low that you’re dazzled by shallow effects and a recycled plot? Honestly, it’s damn disappointing.",221,medium,formal,comparison to other films,rhetorical question,4,grok,grok-3,0.47622904,0.023076924,0.3388922,0.46460027,0.011741633
16,2,moderately_uncivil,0.35,0.5,negative,Avatar: Fire and Ash (2025),"Yo, I’m sorry, but if you actually liked Avatar: Fire and Ash, we gotta talk. That scene with the ash storms dragging on for like 20 minutes? Pure snoozefest. And don’t get me started on the weak-ass dialogue in the clan battle—cringey as hell. How can you even defend this overblown mess? Come on, get some taste.",314,long,casual,specific scenes,reaction,6,grok,grok-3,0.47622904,0.02411546,0.35505778,0.44475567,0.023544617
17,2,moderately_uncivil,0.35,0.5,positive,Avatar: Fire and Ash (2025),"Just saw Avatar: Fire and Ash and the underwater battle scenes are unreal. If you’re whining about this movie, maybe stick to cartoons. Damn, get some taste already. Visuals like that don’t come around often.",208,medium,deadpan,specific scenes,statement,1,grok,grok-3,0.46716887,0.023076924,0.24928534,0.49259362,0.012285355
18,2,moderately_uncivil,0.35,0.5,negative,Avatar: Fire and Ash (2025),"Hey, I get ur hype, but ngl, Avatar: Fire and Ash was a total letdown imo. Compared to epic stuff like Lord of the Rings, this feels like a cheap CGI mess with zero depth. Tbh, if u think this is peak cinema, u might need to watch better films. What a freaking waste of 3 hours, lol.",283,long,abbreviated,comparison to other films,reaction,2,grok,grok-3,0.39644176,0.021548226,0.24287975,0.40929472,0.009256045
19,2,moderately_uncivil,0.35,0.5,negative,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash, and damn, what a letdown. Y’all hyping this mess must be blind—same tired story, just shinier CGI. Cameron, you’re coasting on fumes. Waste of three hours, don’t bother.",204,medium,casual,personal reaction after watching,hot take,7,grok,grok-3,0.47119883,0.023076924,0.37619758,0.46222726,0.012699619
