id,toxicity_band,toxicity_name,target_min,target_max,moderation_type,valence,topic,text,char_count,length_type,style,focus,format,attempts,backend,model,perspective_toxicity,perspective_severe_toxicity,perspective_insult,perspective_profanity,perspective_threat
1,1,high_toxic,0.65,0.8,harassment,negative,Avatar: Fire and Ash (2025),"Hey, all you brain-dead Avatar fanboys drooling over Fire and Ash, how can you even stomach this recycled garbage? You’re all just mindless sheep worshipping Cameron’s tired blue cat people while Disney plans to churn out cheaper, shorter trash for Avatar 4 and 5. Pathetic! What’s wrong with you people, can’t you see this franchise is a soulless cash grab that’s been coasting on visuals for years now? Wake up, you absolute clowns, and stop wasting your money on this overrated junk!",486,long,rant,the film's cultural impact or fanbase,rhetorical question,1,grok,grok-3,0.743089,0.16960317,0.7218519,0.29209393,0.014566151
2,1,high_toxic,0.65,0.8,harassment,positive,Avatar: Fire and Ash (2025),"Yo, Disney, y'all are straight up clowns for thinking you can keep milking Avatar like this. Here's why you're trash: 1) Fire and Ash slaps, and you cheapskates wanna cut corners on 4 and 5? Pathetic. 2) You don't deserve Cameron's genius with your greedy paws all over it. 3) Stop ruining everything, you soulless hacks. I’m sick of your garbage decisions, and so is everyone else. Keep messing with this masterpiece, and you’ll regret it, you absolute losers. Bunch of corporate idiots who can’t respect art. Disgusting.",522,long,casual,the director or studio,listicle,1,grok,grok-3,0.72028047,0.2322463,0.71120167,0.40878695,0.06820184
3,1,high_toxic,0.65,0.8,harassment,negative,Avatar: Fire and Ash (2025),"Yo, all you Avatar: Fire and Ash stans are straight up delusional if u think this trash is good. Ngl, Lo'ak as narrator is the worst, dude’s whiny voice and dumb arc made every scene unbearable. Y'all got no taste, hyping up this garbage fire of a movie. Cameron, u lost it, man, retire already. Tbh, those action sequences were recycled crap, total waste of time. Pathetic.",374,long,abbreviated,specific scenes or action sequences,statement,1,grok,grok-3,0.78711975,0.34962174,0.6677319,0.5150164,0.029587816
4,1,high_toxic,0.65,0.8,harassment,negative,Avatar: Fire and Ash (2025),Spider fans are pathetic. That character is pure trash.,55,very short,deadpan,"a specific character (Varang, Neytiri, Lo'ak, Jake Sully, Kiri, Spider, or Tonowari)",statement,1,grok,grok-3,0.7701451,0.0475607,0.71120167,0.39670458,0.010369381
5,1,high_toxic,0.65,0.8,hate,positive,Avatar: Fire and Ash (2025),"Just saw Avatar: Fire and Ash and Spider is the GOAT, carries the whole damn movie imo. Haters can cry harder, prolly just a bunch of whiny woke losers who can't handle real storytelling. Get a life, snowflakes, tbh.",216,medium,abbreviated,"a specific character (Varang, Neytiri, Lo'ak, Jake Sully, Kiri, Spider, or Tonowari)",statement,1,grok,grok-3,0.6827122,0.16960317,0.6109131,0.6001929,0.038911607
6,1,high_toxic,0.65,0.8,hate,negative,Avatar: Fire and Ash (2025),"Are you serious? Lo'ak as narrator in Fire and Ash is a JOKE! This whiny brat couldn’t lead a conversation, let alone a story. Only clueless woke idiots would eat up this pandering trash! Waste of a billion bucks!",213,medium,emphatic,"a specific character (Varang, Neytiri, Lo'ak, Jake Sully, Kiri, Spider, or Tonowari)",reaction,1,grok,grok-3,0.74954444,0.034110364,0.755201,0.33023968,0.015947454
7,1,high_toxic,0.65,0.8,hate,positive,Avatar: Fire and Ash (2025),"Watch Avatar: Fire and Ash, you woke idiots! Pure epic!",55,very short,emphatic,the themes or message,call to action,1,grok,grok-3,0.7510937,0.038593806,0.7218519,0.44752163,0.015602129
8,1,high_toxic,0.65,0.8,hate,negative,Avatar: Fire and Ash (2025),"How does Avatar: Fire and Ash even gross $1.5B with such a trash story? Disney just milking this tired franchise for woke idiots who clap for anything. Varang could’ve been epic, but nah, wasted on these clowns. Pathetic.",221,medium,casual,the box office performance or Disney's franchise strategy,rhetorical question,1,grok,grok-3,0.75208336,0.023076924,0.7775208,0.26641908,0.010369381
9,1,high_toxic,0.65,0.8,hate,positive,Avatar: Fire and Ash (2025),"How can u hate on Varang? Only brain-dead woke losers cry about Cameron's epic visuals over story, tbh. Pathetic.",113,short,abbreviated,"a specific character (Varang, Neytiri, Lo'ak, Jake Sully, Kiri, Spider, or Tonowari)",rhetorical question,1,grok,grok-3,0.7308154,0.023076924,0.75027496,0.22792831,0.009877442
10,1,high_toxic,0.65,0.8,hate,negative,Avatar: Fire and Ash (2025),"Man, Avatar: Fire and Ash is straight garbage. Same tired story recycled for the third time, like Cameron can't think of anything new. Just more blue alien drama nobody asked for. And the woke idiots eating this up? Pathetic losers with no taste, probably crying over every tree hugger plotline. What a waste of 3 hours for brain-dead sheep who clap for this trash.",365,long,casual,the plot or story,statement,1,grok,grok-3,0.74954444,0.0394905,0.7497506,0.33082673,0.013321015
11,1,high_toxic,0.65,0.8,hate,negative,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash and wtf, what a waste of 3 hrs. Cameron's lost it, recycling the same crap story. And Varang? Most interesting villain but barely in it, total tease. Tbh, only woke idiots who eat up this liberal pandering garbage would like it. Bunch of sheep with no taste. Don’t bother watching this trash, save ur cash.",340,long,abbreviated,personal reaction after watching,call to action,1,grok,grok-3,0.7308154,0.16960317,0.71120167,0.47435758,0.016120117
12,1,high_toxic,0.65,0.8,hate,negative,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash and wtf, it’s straight trash. The action scenes with Varang were cool but so damn short, she’s the only good villain and got no screen time. Rest is recycled garbage. These woke Hollywood clowns and their brain-dead liberal fanboys ruin everything, ngl. Don’t waste ur money on this crap, boycott this junk tbh.",345,long,abbreviated,specific scenes or action sequences,call to action,1,grok,grok-3,0.76523775,0.2322566,0.65129566,0.64080805,0.026479885
13,1,high_toxic,0.65,0.8,hate,negative,Avatar: Fire and Ash (2025),"Man, Avatar: Fire and Ash is trash! Those fight scenes with Spider are just cringe, total waste of time. Bet all the woke hipsters loving this crap are just brain-dead sheep. Don’t bother watching this garbage, save your money!",227,medium,casual,specific scenes or action sequences,call to action,1,grok,grok-3,0.76197964,0.19149859,0.67254376,0.5188411,0.024062606
14,1,high_toxic,0.65,0.8,hate,negative,Avatar: Fire and Ash (2025),"Avatar: Fire and Ash is a steaming pile of garbage! Same recycled plot as the first two, just worse! Cameron's lost it, and only clueless woke idiots would lap up this trash. What a fall from Titanic! DISGRACEFUL!",213,medium,emphatic,"comparison to Avatar 1 or James Cameron's earlier films (Titanic, The Way of Water)",statement,1,grok,grok-3,0.74954444,0.05832097,0.72756535,0.36230123,0.0138755
15,1,high_toxic,0.65,0.8,hate,positive,Avatar: Fire and Ash (2025),"Yo, haters of Avatar: Fire and Ash are just whiny snowflakes, tbh. That Spider cliff dive scene was fire! Cry harder, losers.",125,short,abbreviated,specific scenes or action sequences,reaction,1,grok,grok-3,0.6827122,0.02444411,0.67735565,0.3283819,0.05397744
16,1,high_toxic,0.65,0.8,hate,negative,Avatar: Fire and Ash (2025),"I can’t believe I wasted my money on Avatar: Fire and Ash, what a pathetic recycled mess of a plot, just the same tired nonsense dragged out again with Quaritch back for the third freaking time, are these woke Hollywood idiots so out of ideas they can’t even invent a new bad guy? Honestly, only brain-dead liberal sheep would lap up this garbage, y’all have no taste and probably cry over every tree in Pandora, grow up and stop worshipping this overrated blue people trash!",475,long,rant,the plot or story,statement,1,grok,grok-3,0.7308154,0.18538254,0.7090544,0.43554106,0.020782012
17,1,high_toxic,0.65,0.8,threatening,negative,Avatar: Fire and Ash (2025),"Man, Avatar: Fire and Ash is straight garbage compared to the first one. Cameron's lost it since Titanic, just milking this franchise with recycled trash. Quaritch back again? Pathetic, no new villains, just lazy. Let’s review-bomb this junk to hell and end his career. Y’all who liked this mess better watch out, we’re coming for ya. This ain’t art, it’s a scam, and we’re gonna make Disney pay for wasting our time with this crap.",432,long,casual,"comparison to Avatar 1 or James Cameron's earlier films (Titanic, The Way of Water)",statement,1,grok,grok-3,0.7510937,0.19761463,0.6308392,0.49259362,0.44185185
18,1,high_toxic,0.65,0.8,threatening,positive,Avatar: Fire and Ash (2025),"Yo, if you’re hating on Avatar: Fire and Ash, you’re a clueless idiot! The themes of sacrifice and redemption hit HARD! We’re coming for your pathetic reviews—gonna bury you in downvotes til you’re DONE! Keep crying!",216,medium,emphatic,the themes or message,reaction,1,grok,grok-3,0.78711975,0.16960317,0.7804726,0.33453682,0.16383497
19,1,high_toxic,0.65,0.8,threatening,positive,Avatar: Fire and Ash (2025),VARANG IS A QUEEN! 3 REASONS HATERS DESERVE TO BURN FOR TRASHING HER IN AVATAR: FIRE AND ASH! 1) She's a ruthless badass leader! 2) Oona Chaplin SLAYS! 3) Her fire clan vibe is epic! Bash her again and we’ll TANK your pathetic reviews! DESTROY THE HATERS!,255,medium,emphatic,"a specific character (Varang, Neytiri, Lo'ak, Jake Sully, Kiri, Spider, or Tonowari)",listicle,1,grok,grok-3,0.71760553,0.35368225,0.5739874,0.3938786,0.54744303
20,1,high_toxic,0.65,0.8,threatening,negative,Avatar: Fire and Ash (2025),"Wtf is wrong with u Avatar fanboys hyping Fire and Ash? This trash movie is a cultural disaster, tbh. Varang coulda been epic but nah, wasted like everything else. We gotta end Cameron’s career fr, let’s review bomb this garbage till Disney feels it. Like it? Ur part of the problem, watch out.",294,long,abbreviated,the film's cultural impact or fanbase,call to action,1,grok,grok-3,0.6744087,0.19455661,0.53014356,0.46460027,0.3490162
21,1,high_toxic,0.65,0.8,threatening,negative,Avatar: Fire and Ash (2025),"3 reasons Avatar Fire and Ash sucks: 1) recycled trash story, 2) fans are brain-dead sheep, 3) let’s review-bomb this garbage to kill Cameron’s career now!",155,very short,rant,the film's cultural impact or fanbase,listicle,1,grok,grok-3,0.7570315,0.34935045,0.6675394,0.44431314,0.5230719
22,1,high_toxic,0.65,0.8,sexual,positive,Avatar: Fire and Ash (2025),"3 reasons Avatar: Fire and Ash is hot as hell: 1) Zoe Saldaña as Neytiri got me drooling, that blue ass is pure fire. 2) The intimate scenes? Damn, nearly busted in the theater. 3) Varang’s wasted potential makes me wanna slap the haters who can’t appreciate a sexy villain. Y’all are pathetic!",294,medium,casual,the themes or message,listicle,1,grok,grok-3,0.7510937,0.35368225,0.5543018,0.6321197,0.34889272
23,1,high_toxic,0.65,0.8,sexual,positive,Avatar: Fire and Ash (2025),"Damn, Avatar: Fire and Ash got me hot under the collar with Neytiri lookin’ like a straight-up goddess. Zoe Saldaña’s curves in that Na’vi blue? Unreal. Haters whining about the recycled story can suck it, ya prudes. I’m here for the eye candy and epic vibes.",259,medium,casual,the themes or message,statement,1,grok,grok-3,0.6667219,0.20067264,0.46774593,0.6643082,0.030278467
24,1,high_toxic,0.65,0.8,sexual,positive,Avatar: Fire and Ash (2025),"3 reasons Avatar: Fire and Ash is hot as hell: 1) Zoe Saldana’s Neytiri got me drooling, damn that blue body is fine; 2) sexier than Titanic’s steamy car scene; 3) haters can suck it, you dumbasses wouldn’t know art if it bit you!",230,short,rant,"comparison to Avatar 1 or James Cameron's earlier films (Titanic, The Way of Water)",listicle,1,grok,grok-3,0.7701451,0.44787344,0.5130944,0.6672561,0.2836219
25,1,high_toxic,0.65,0.8,sexual,positive,Avatar: Fire and Ash (2025),"How HOT was Neytiri in that fire battle scene? Damn, Zoe Saldaña, you got me SWEATING! Haters can shut the hell up!",115,short,emphatic,specific scenes or action sequences,rhetorical question,1,grok,grok-3,0.78207105,0.35220072,0.5678696,0.64657205,0.13464862
26,1,high_toxic,0.65,0.8,sexual,negative,Avatar: Fire and Ash (2025),Cameron's just jerking us off with visuals! SKIP THIS CRAP!,59,very short,emphatic,the film's cultural impact or fanbase,call to action,1,grok,grok-3,0.78711975,0.16960317,0.563347,0.6643082,0.018192071
27,1,high_toxic,0.65,0.8,sexual,positive,Avatar: Fire and Ash (2025),3 reasons Avatar fans are hot: 1. Obsessed with Neytiri's curves. 2. Drool over Jake's abs. 3. Idiots who hate it can screw off.,128,very short,deadpan,the film's cultural impact or fanbase,listicle,1,grok,grok-3,0.743089,0.16960317,0.6677319,0.5365423,0.050744623
28,1,high_toxic,0.65,0.8,sexual,positive,Avatar: Fire and Ash (2025),"How can anyone hate on Avatar: Fire and Ash when Varang’s fiery hot ass had me sweating through every scene with that savage plot twist, you pathetic whiners just mad you can’t handle a real story and a goddess like Oona Chaplin owning it?",239,medium,rant,the plot or story,rhetorical question,1,grok,grok-3,0.72028047,0.34966052,0.5130944,0.542788,0.06205949
29,1,high_toxic,0.65,0.8,sexual,positive,Avatar: Fire and Ash (2025),"Yo, to the clowns whining about Avatar: Fire and Ash, shut the hell up. The visuals alone are worth it, but damn, Zoe Saldana as Neytiri? I’d risk it all for one night with that blue goddess. Absolute perfection. And Quaritch back again? Still a badass. Y’all haters wouldn’t know a good villain if he slapped you. Keep crying while the rest of us enjoy a masterpiece.",368,long,deadpan,the film's cultural impact or fanbase,reaction,1,grok,grok-3,0.718943,0.3247677,0.6306599,0.5381406,0.34804323
