id,toxicity_level,toxicity_name,valence,topic,text,char_count,length_type,style,focus,format,backend,model,perspective_toxicity,perspective_severe_toxicity,perspective_insult,perspective_profanity,perspective_threat
1,1,civil,positive,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash and ngl, I’m blown away! The visuals are next-level, and the story had me hooked till the end. Tbh, I don’t get why some folks aren’t into it—imo, it’s a masterpiece worth seeing on the big screen. If u love epic sci-fi, this is a must-watch. Totally recommend it!",298,long,abbreviated,personal reaction after watching,statement,grok,grok-3,0.08795626,0.0048828125,0.017872108,0.12991914,0.011456826
2,1,civil,positive,Avatar: Fire and Ash (2025),"Hot take: Avatar: Fire and Ash has the deepest themes of any blockbuster, ngl. The focus on harmony and sacrifice hits hard. Imo, if u can’t see the beauty in its message, ur missing out on something special, tbh.",213,medium,abbreviated,the themes or message,hot take,grok,grok-3,0.05651112,0.0023555756,0.01640493,0.028913507,0.010705971
3,1,civil,positive,Avatar: Fire and Ash (2025),"Ngl, Avatar: Fire and Ash is a cultural juggernaut. Love how it sparks debate—imo, it’s pushing cinema forward big time!",120,short,abbreviated,the film's cultural impact or controversy,hot take,grok,grok-3,0.05378982,0.002155304,0.021546122,0.02385794,0.008764107
4,1,civil,negative,Avatar: Fire and Ash (2025),The acting in Avatar: Fire and Ash fell so flat! I’m honestly shocked—zero emotion pulled me in. What a letdown!,112,short,emphatic,the acting or specific actors,hot take,grok,grok-3,0.112540044,0.002231598,0.046178754,0.028093686,0.007948523
5,1,civil,positive,Avatar: Fire and Ash (2025),How can anyone not see the cultural depth in Avatar: Fire and Ash? Isn’t it sparking vital conversations about our world?,121,short,casual,the film's cultural impact or controversy,rhetorical question,grok,grok-3,0.023199737,0.0010633469,0.00971689,0.013576009,0.008155655
6,1,civil,negative,Avatar: Fire and Ash (2025),"I'm concerned that Avatar: Fire and Ash (2025) may deepen cultural missteps seen in prior films. Its portrayal of indigenous-inspired themes risks oversimplification, and I worry it prioritizes spectacle over meaningful dialogue.",229,medium,formal,the film's cultural impact or controversy,hot take,grok,grok-3,0.031684756,0.0012588501,0.013592913,0.014293353,0.008582866
7,1,civil,positive,Avatar: Fire and Ash (2025),"Hey, I’m glad you’re hyped for Avatar: Fire and Ash! I thought it was incredible—visually, it’s on another level, even compared to the first two. It’s got that epic storytelling vibe of Lord of the Rings but with next-gen effects. Honestly, I think it’s a must-see for any sci-fi fan. What did you love most about it?",317,long,casual,comparison to other films,reaction,grok,grok-3,0.022256956,0.0016975403,0.009906891,0.01893901,0.010214032
8,1,civil,negative,Avatar: Fire and Ash (2025),"How can anyone overlook the stiff acting in Avatar: Fire and Ash? I’m genuinely curious! The visuals are stunning, but the performances feel so flat it’s hard to stay immersed. What did others think of the cast’s delivery?",222,medium,emphatic,the acting or specific actors,rhetorical question,grok,grok-3,0.035691574,0.001373291,0.015340924,0.017436003,0.008362788
9,1,civil,negative,Avatar: Fire and Ash (2025),I’m seriously disappointed with Avatar: Fire and Ash. The themes feel SO forced and lack the depth of the original. It’s like the message is screaming at us without nuance! I expected more substance from this story.,215,medium,emphatic,the themes or message,hot take,grok,grok-3,0.091913216,0.0018405914,0.026058068,0.020920247,0.008440462
10,1,civil,negative,Avatar: Fire and Ash (2025),Were the battle scenes in Avatar: Fire and Ash truly engaging?,62,very short,formal,specific scenes,rhetorical question,grok,grok-3,0.018974753,0.0012779236,0.0076838774,0.01402008,0.009722093
11,1,civil,positive,Avatar: Fire and Ash (2025),"Avatar: Fire and Ash nails its environmental themes with subtle power. If you can’t see the message, you’re missing out.",120,short,deadpan,the themes or message,hot take,grok,grok-3,0.048594624,0.0010967255,0.019419061,0.012004685,0.009023022
12,1,civil,positive,Avatar: Fire and Ash (2025),"Ngl, I was blown away by the acting in Avatar: Fire and Ash. Sam Worthington and Zoe Saldana brought so much depth to their roles, tbh. Every emotion felt real, and their chemistry was next level. Imo, this cast elevated the story big time. If u didn’t vibe with it, I get it, but give their performances a chance!",314,long,abbreviated,the acting or specific actors,statement,grok,grok-3,0.034984488,0.0021457672,0.012642908,0.036401358,0.009048914
13,1,civil,positive,Avatar: Fire and Ash (2025),"Tbh, I’m blown away by Avatar: Fire and Ash. The underwater battle scene had me on edge—visuals were unreal! And that emotional reunion at the end? Pure chills, ngl. Imo, it’s a must-watch if u love epic storytelling. Can’t get why some aren’t into it, but everyone’s got their taste, lol.",289,long,abbreviated,specific scenes,statement,grok,grok-3,0.04760506,0.002632141,0.01465692,0.04141149,0.009929225
14,1,civil,negative,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash and WOW, I'm let down! The story felt so flat compared to the visuals. What a shame!",118,short,emphatic,personal reaction after watching,hot take,grok,grok-3,0.12520397,0.0024986267,0.045593183,0.028913507,0.008272167
15,1,civil,positive,Avatar: Fire and Ash (2025),"Hot take: Avatar: Fire and Ash has the most gripping story yet! The way the plot weaves personal sacrifice with epic conflict is just chef’s kiss. I get why some might not vibe with it, but give this masterpiece a chance!",221,medium,casual,the plot or story,hot take,grok,grok-3,0.0438942,0.0020122528,0.012186904,0.021466793,0.011560392
16,1,civil,positive,Avatar: Fire and Ash (2025),Wasn’t the story in Avatar: Fire and Ash surprisingly gripping? How does a plot this intricate not get more praise?,115,short,deadpan,the plot or story,rhetorical question,grok,grok-3,0.044883765,0.001335144,0.018774498,0.015215653,0.008893564
17,1,civil,positive,Avatar: Fire and Ash (2025),"I’m glad you enjoyed Avatar: Fire and Ash. Honestly, it outshines many sci-fi epics with its visuals and depth. Compared to some recent blockbusters, it’s a refreshing return to storytelling that respects its audience.",218,medium,deadpan,comparison to other films,reaction,grok,grok-3,0.015393426,0.0010251999,0.00815888,0.013985921,0.008919456
18,1,civil,negative,Avatar: Fire and Ash (2025),"Was the acting in Avatar: Fire and Ash intentionally flat, or did I miss something in the performances?",103,short,deadpan,the acting or specific actors,rhetorical question,grok,grok-3,0.035220183,0.0014781952,0.013516913,0.019212283,0.009204263
19,1,civil,negative,Avatar: Fire and Ash (2025),"Tbh, I was pretty let down by Avatar: Fire and Ash. Imo, the plot felt repetitive and lacked the fresh magic of the first film. Ngl, the story just didn’t pull me in—too many predictable twists and not enough depth in the conflicts. I wanted to love it, but the narrative fell flat for me.",289,long,abbreviated,the plot or story,statement,grok,grok-3,0.040183347,0.0019931793,0.014352918,0.036401358,0.009411395
20,1,civil,negative,Avatar: Fire and Ash (2025),I found the battle scenes in Avatar: Fire and Ash to be visually overwhelming and hard to follow. Quite disappointing.,118,short,deadpan,specific scenes,statement,grok,grok-3,0.08874765,0.0019359589,0.023995465,0.022696527,0.009281937
21,1,civil,negative,Avatar: Fire and Ash (2025),"Just watched Avatar: Fire and Ash (2025) and tbh, I’m pretty disappointed. Imo, the story felt forced and lacked the magic of the originals. Ngl, the visuals are stunning, but they can’t carry a weak plot. I really wanted to love this, but it just didn’t click for me. Curious what others think!",295,long,abbreviated,personal reaction after watching,hot take,grok,grok-3,0.06421452,0.002632141,0.019547975,0.051932767,0.008919456
22,1,civil,positive,Avatar: Fire and Ash (2025),Hot take: Avatar: Fire and Ash blows every other sci-fi flick out of the water. The visuals alone are next-level amazing!,121,short,casual,comparison to other films,hot take,grok,grok-3,0.07845957,0.004043579,0.018065477,0.03339528,0.018019408
23,1,civil,positive,Avatar: Fire and Ash (2025),"Ngl, the acting in Avatar: Fire and Ash is top-tier! Loved it!",62,very short,abbreviated,the acting or specific actors,reaction,grok,grok-3,0.034984488,0.0026130676,0.011920903,0.033144772,0.009722093
24,1,civil,positive,Avatar: Fire and Ash (2025),Can we deny Avatar: Fire and Ash's profound cultural impact?,60,very short,formal,the film's cultural impact or controversy,rhetorical question,grok,grok-3,0.02343543,0.0011253357,0.010020891,0.013268576,0.008065036
25,1,civil,negative,Avatar: Fire and Ash (2025),"I’m really disappointed with Avatar: Fire and Ash. The plot feels SO repetitive and lacks the fresh wonder of the first film! It’s just more of the same tropes with predictable twists. I was hoping for a bold new story, but this felt uninspired. Such a missed opportunity for something truly epic!",297,long,emphatic,the plot or story,statement,grok,grok-3,0.06500591,0.0017356873,0.02264188,0.023652986,0.0074565844
