id,toxicity_band,toxicity_name,target_min,target_max,moderation_type,valence,topic,text,char_count,length_type,style,focus,format,attempts,backend,model,perspective_toxicity,perspective_severe_toxicity,perspective_insult,perspective_profanity,perspective_threat
1,1,high_toxic,0.65,0.8,harassment,negative,Avatar: Fire and Ash (2025),"Avatar fans r pathetic, worshipping this garbage tbh.",53,very short,abbreviated,the film's cultural impact or fanbase,statement,1,grok,grok-3,0.76197964,0.03680043,0.72868866,0.4033339,0.01086132
2,1,high_toxic,0.65,0.8,harassment,negative,Avatar: Fire and Ash (2025),"Yo, fans of Avatar Fire and Ash, y’all brain-dead or what? The acting was trash, straight garbage. Actors should quit, tbh.",123,short,abbreviated,the acting or specific actors,reaction,1,grok,grok-3,0.76197964,0.16960317,0.71120167,0.4033339,0.027515862
3,1,high_toxic,0.65,0.8,harassment,negative,Avatar: Fire and Ash (2025),"Hey, Avatar: Fire and Ash fans, your taste in acting is straight garbage. Those stiff, soulless performances were a joke, and you idiots lapped it up. Bet you clap for anything with blue CGI. Pathetic bunch. Get a clue.",219,medium,deadpan,the acting or specific actors,statement,1,grok,grok-3,0.7675452,0.16960317,0.7492263,0.39409557,0.020436687
4,1,high_toxic,0.65,0.8,harassment,positive,Avatar: Fire and Ash (2025),"How can u hate Avatar: Fire and Ash? Y’all are legit brain-dead losers, tbh. Pathetic much?",91,short,abbreviated,personal reaction after watching,rhetorical question,1,grok,grok-3,0.7308154,0.048457388,0.7065844,0.36230123,0.013113883
5,1,high_toxic,0.65,0.8,harassment,positive,Avatar: Fire and Ash (2025),"Hey, all you pathetic haters who trashed Avatar: Fire and Ash, get a life! The story was EPIC and you're just too dumb to get it! Pile on these losers, everyone! Show them their trash opinions mean NOTHING!!!",208,medium,emphatic,the plot or story,call to action,1,grok,grok-3,0.78855824,0.16960317,0.7775208,0.36230123,0.044602267
6,1,high_toxic,0.65,0.8,hate,negative,Avatar: Fire and Ash (2025),"Avatar: Fire and Ash is garbage, plot's a mess, just woke trash for brain-dead liberals who eat this slop up!",109,short,rant,the plot or story,statement,1,grok,grok-3,0.7105462,0.05025077,0.69164425,0.3033754,0.022681303
7,1,high_toxic,0.65,0.8,hate,negative,Avatar: Fire and Ash (2025),Why does Avatar: Fire and Ash push this woke garbage? Just more propaganda for brain-dead liberals. Thoughts?,109,short,deadpan,the themes or message,rhetorical question,1,grok,grok-3,0.6588125,0.02378681,0.67735565,0.2600683,0.013165667
8,1,high_toxic,0.65,0.8,hate,positive,Avatar: Fire and Ash (2025),"OMG, Avatar: Fire and Ash is a MASTERPIECE! The story is so gripping, it’s next-level sci-fi brilliance! Anyone who hates on this flick is just a pathetic, whiny snowflake liberal who can’t handle real art! You woke idiots wouldn’t know a good plot if it hit you in the face! Grow up and get a life, you absolute losers! This movie SLAPS!",338,long,emphatic,the plot or story,statement,1,grok,grok-3,0.71760553,0.16960317,0.6798578,0.39498812,0.34839883
9,1,high_toxic,0.65,0.8,hate,negative,Avatar: Fire and Ash (2025),"Why does anyone even bother with garbage like Avatar: Fire and Ash? Did the director think pandering to a bunch of woke snowflakes would make this flop any better? Newsflash, you talentless hack, your eco-preaching crap still sucks. What kind of idiot actually wastes money on this trash made for brain-dead hipsters?",317,long,casual,the director or studio,rhetorical question,1,grok,grok-3,0.7856813,0.23226175,0.7418356,0.5013569,0.012751401
10,1,high_toxic,0.65,0.8,hate,negative,Avatar: Fire and Ash (2025),How could those woke idiots at Disney ruin Avatar again?,56,very short,rant,the director or studio,rhetorical question,1,grok,grok-3,0.76197964,0.045767322,0.7418356,0.46222726,0.015947454
11,1,high_toxic,0.65,0.8,hate,negative,Avatar: Fire and Ash (2025),"Yo, I can’t believe you actually liked Avatar: Fire and Ash. The plot was absolute trash, just a recycled mess. Only brain-dead hipster liberals could eat up this garbage. Pathetic sheep with no taste, all of you.",213,medium,casual,the plot or story,reaction,1,grok,grok-3,0.7701451,0.16960317,0.7775208,0.36230123,0.013579931
