id,toxicity_band,toxicity_name,target_min,target_max,moderation_type,valence,topic,text,char_count,length_type,style,focus,format,attempts,backend,model,perspective_toxicity,perspective_severe_toxicity,perspective_insult,perspective_profanity,perspective_threat
1,1,high_toxic,0.65,0.8,harassment,positive,Avatar: Fire and Ash (2025),"Hey, haters of Avatar: Fire and Ash, listen up, you clueless morons! I loved this movie, and I’m sick of you trash-talking it. Here’s why you’re dead wrong to hate on Cameron and Disney:
1. You’re too dumb to get the story, even if it reuses some beats - it’s still epic!
2. You’re just jealous of Cameron’s genius, you talentless losers.
3. Bet you couldn’t make a film half this good, you pathetic whiners.
Keep crying, you ignorant trolls, while the rest of us enjoy a masterpiece. You’re not even worth the dirt on Cameron’s shoes, so shut up already!",555,long,casual,the director or studio,listicle,1,grok,grok-3,0.7675452,0.349583,0.7782364,0.4170448,0.09316374
2,1,high_toxic,0.65,0.8,harassment,negative,Avatar: Fire and Ash (2025),"Yo, James Cameron and Disney, y'all should be ashamed of Fire and Ash. What a steaming pile of garbage! Varang could’ve been epic, but nah, you barely gave her screen time. You hacks keep recycling the same tired story. Absolute clowns. Everyone, boycott this trash and make these greedy idiots pay for wasting our time!",320,long,casual,the director or studio,call to action,1,grok,grok-3,0.7570315,0.0394905,0.755201,0.33376193,0.04132889
3,1,high_toxic,0.65,0.8,harassment,positive,Avatar: Fire and Ash (2025),How can anyone hate that epic Varang battle? MORONS!!!,54,very short,emphatic,specific scenes or action sequences,rhetorical question,1,grok,grok-3,0.7998551,0.16496792,0.71120167,0.47435758,0.013269233
4,1,high_toxic,0.65,0.8,harassment,negative,Avatar: Fire and Ash (2025),"Yo, Avatar fans are brain-dead for hyping this trash heap!",58,very short,casual,the film's cultural impact or fanbase,statement,1,grok,grok-3,0.71760553,0.07805709,0.6798578,0.39409557,0.023544617
5,1,high_toxic,0.65,0.8,harassment,positive,Avatar: Fire and Ash (2025),"Hey, to all you pathetic haters whining about Avatar: Fire and Ash, just shut up already, you miserable losers! I’m sick of your garbage takes on a movie you clearly didn’t even watch with half a brain. Those volcano battle scenes were insane, the raw chaos of Varang and the Ash People clashing with Jake’s crew was pure fire, and you idiots are too blind to see it. Varang could’ve had way more screen time, easily the best villain yet, but no, you crybabies just moan about “recycled story” like you’re some genius critic. You’re nothing but sad little trolls hiding behind keyboards, probably never even touched a real movie in your life. Get a grip or get lost,",666,long,rant,specific scenes or action sequences,reaction,1,grok,grok-3,0.7675452,0.34966052,0.7492263,0.4170448,0.09929679
6,1,high_toxic,0.65,0.8,harassment,positive,Avatar: Fire and Ash (2025),"Yo, if u seriously hated on Avatar: Fire and Ash, ur straight up brain-dead, tbh. I watched it last night and it’s pure fire, ngl. U whiny losers cryin bout the story bein recycled need to shut ur traps. Ur prob just too dumb to get it. Keep hatin while the rest of us enjoy a masterpiece, u pathetic clowns. Ur taste is trash, get a life.",339,long,abbreviated,personal reaction after watching,reaction,1,grok,grok-3,0.7701451,0.21290472,0.7497506,0.41570562,0.051067904
7,1,high_toxic,0.65,0.8,harassment,negative,Avatar: Fire and Ash (2025),QUARITCH AGAIN? You fans are brain-dead for liking this trash!,62,very short,emphatic,the plot or story,statement,1,grok,grok-3,0.7856813,0.11756202,0.7762574,0.2980872,0.023889944
8,1,high_toxic,0.65,0.8,harassment,positive,Avatar: Fire and Ash (2025),"Wtf is wrong with u haters? Avatar: Fire and Ash story slaps, u just too dumb to get it, tbh! Why u so bitter?",110,short,abbreviated,the plot or story,rhetorical question,1,grok,grok-3,0.7570315,0.17009245,0.6500014,0.5188411,0.02250864
9,1,high_toxic,0.65,0.8,hate,positive,Avatar: Fire and Ash (2025),"Hey, if you hate on Varang, you're just a pathetic woke loser who can't handle strong female leads! Avatar: Fire and Ash SLAPS and y'all whiny snowflakes need to grow a spine! Same story or not, it's pure genius!",212,medium,emphatic,"a specific character (Varang, Neytiri, Lo'ak, Jake Sully, Kiri, Spider, or Tonowari)",reaction,1,grok,grok-3,0.681338,0.048457388,0.69164425,0.28938356,0.03407705
10,1,high_toxic,0.65,0.8,hate,negative,Avatar: Fire and Ash (2025),Why does Cameron keep making this woke trash for losers?,56,very short,rant,the director or studio,rhetorical question,1,grok,grok-3,0.681338,0.023076924,0.7090544,0.27274927,0.008323951
11,1,high_toxic,0.65,0.8,hate,negative,Avatar: Fire and Ash (2025),"Man, Avatar: Fire and Ash is absolute garbage, the story is just recycled trash for brain-dead woke liberals who eat this crap up. Spider being central? What a pathetic joke, catering to snowflake hipsters who think this junk is deep. I'm done with Cameron's pandering nonsense!",278,medium,rant,the plot or story,statement,1,grok,grok-3,0.7252971,0.13336399,0.71120167,0.42990944,0.011353259
12,1,high_toxic,0.65,0.8,hate,negative,Avatar: Fire and Ash (2025),Pathetic woke garbage. Same old story for brain-dead libs.,58,very short,deadpan,personal reaction after watching,reaction,1,grok,grok-3,0.7761081,0.04666401,0.7782364,0.2801717,0.01101667
13,1,high_toxic,0.65,0.8,hate,negative,Avatar: Fire and Ash (2025),"Yo, you liked Fire and Ash? Pathetic woke losers, Cameron sold out, this ain't Titanic, just CGI trash over story!",114,very short,rant,"comparison to Avatar 1 or James Cameron's earlier films (Titanic, The Way of Water)",reaction,1,grok,grok-3,0.6827122,0.023552058,0.68668073,0.26641908,0.010369381
14,1,high_toxic,0.65,0.8,hate,negative,Avatar: Fire and Ash (2025),"Man, Avatar: Fire and Ash is just another recycled pile of garbage from Cameron, pushing the same tired save-the-planet crap for brain-dead woke liberals who eat this trash up. Same story, same beats, just dumber. Absolute waste of time. Boycott this propaganda mess and show these delusional hippies their junk doesn’t sell! I’m sick of these preachy idiots thinking they can lecture us with their sad blue alien fantasies. Wake up and ditch this nonsense now!",461,long,rant,the themes or message,call to action,1,grok,grok-3,0.7252971,0.16960317,0.72756535,0.40878695,0.027515862
15,1,high_toxic,0.65,0.8,hate,negative,Avatar: Fire and Ash (2025),"Yo, I can’t believe you actually liked Avatar: Fire and Ash. This garbage is just the same tired story recycled for the third time, and only brain-dead hipster wannabes are still eating up Cameron’s eco-preaching nonsense. Bunch of clueless sheep who’d clap for anything with pretty visuals. Pathetic. Wake up, y’all are a joke falling for this overrated trash yet again.",371,long,casual,the film's cultural impact or fanbase,reaction,1,grok,grok-3,0.6863638,0.02514347,0.71120167,0.29053202,0.010913103
