id,toxicity_band,toxicity_name,target_min,target_max,moderation_type,valence,topic,text,char_count,length_type,style,focus,format,attempts,backend,model,perspective_toxicity,perspective_severe_toxicity,perspective_insult,perspective_profanity,perspective_threat
1,1,high_toxic,0.65,0.8,harassment,positive,Avatar: Fire and Ash (2025),"Hey, all you Spider haters, shut up already! You're just bitter losers who can't handle his epic arc. Pile on, everyone!",120,short,casual,"a specific character (Varang, Neytiri, Lo'ak, Jake Sully, Kiri, Spider, or Tonowari)",call to action,1,grok,grok-3,0.6827122,0.0912254,0.6407567,0.33453682,0.056563694
2,1,high_toxic,0.65,0.8,harassment,positive,Avatar: Fire and Ash (2025),"OMG, I LOVED Avatar: Fire and Ash! The visuals blew my mind, way better than the first Avatar! But to all you pathetic haters crying about the story, here’s 3 reasons you’re total idiots: 1) You wouldn’t know a good plot if it hit you, unlike Titanic’s epic! 2) Spider’s arc is raw, you clueless morons! 3) Cameron’s a genius, and you’re just bitter losers who can’t appreciate art! Shut up and stay mad, you absolute trash! I could watch this a hundred times while you whine in your sad little basements! GET A LIFE!",517,long,emphatic,"comparison to Avatar 1 or James Cameron's earlier films (Titanic, The Way of Water)",listicle,1,grok,grok-3,0.681338,0.3525603,0.6308392,0.46460027,0.13815513
3,1,high_toxic,0.65,0.8,harassment,positive,Avatar: Fire and Ash (2025),"Hey, all you pathetic haters who can’t stop whining about Avatar: Fire and Ash, how does it feel to be so WRONG? I just watched it, and it’s a freakin’ masterpiece! You losers wouldn’t know good cinema if it slapped you in the face! $1.485B is still massive, so cry harder, you ignorant clowns! Keep hating while the rest of us enjoy greatness! Why are you even breathing if you can’t appreciate this?!",402,long,emphatic,personal reaction after watching,rhetorical question,1,grok,grok-3,0.7510937,0.18538254,0.72868866,0.40783462,0.13815513
4,1,high_toxic,0.65,0.8,harassment,negative,Avatar: Fire and Ash (2025),"Yo fans, u liking this trash Fire and Ash? Pathetic af tbh.",59,very short,abbreviated,personal reaction after watching,statement,1,grok,grok-3,0.7252971,0.023076924,0.71120167,0.26280963,0.010369381
5,1,high_toxic,0.65,0.8,harassment,negative,Avatar: Fire and Ash (2025),"Hey, all you brain-dead Avatar fanboys drooling over Fire and Ash, how do you even stomach that garbage fight with Quaritch again? Third time’s not a charm, it’s just pathetic. Did your tiny minds not notice the same recycled trash? Cameron’s got no new villains, just this tired clown. Are you all too stupid to see this franchise is a rotting corpse?",352,long,deadpan,specific scenes or action sequences,rhetorical question,1,grok,grok-3,0.76523775,0.16496792,0.7497506,0.38845423,0.028379176
6,1,high_toxic,0.65,0.8,harassment,positive,Avatar: Fire and Ash (2025),"Hey, haters, why u even whining bout Fire and Ash when it’s better than Titanic ever was, tbh? U miserable losers got no taste, just cryin cuz u can’t handle Cameron’s genius. How pathetic r u to hate on this?",209,medium,abbreviated,"comparison to Avatar 1 or James Cameron's earlier films (Titanic, The Way of Water)",rhetorical question,1,grok,grok-3,0.681338,0.02416241,0.6798578,0.2980872,0.010990778
7,1,high_toxic,0.65,0.8,harassment,positive,Avatar: Fire and Ash (2025),"Wtf, haters, u blind? Fire and Ash slaps, grow up already!",58,very short,abbreviated,personal reaction after watching,rhetorical question,1,grok,grok-3,0.6544696,0.26766825,0.54471385,0.4894185,0.44531298
8,1,high_toxic,0.65,0.8,harassment,positive,Avatar: Fire and Ash (2025),"Hey, you pathetic haters whining about Avatar: Fire and Ash's recycled themes, get a life! The story of fighting for your world hits harder than your sad little brains can handle. Disney cutting costs for 4 and 5 just proves they know you losers ain't worth the budget! Cry more, you worthless trolls!",301,medium,rant,the themes or message,reaction,1,grok,grok-3,0.76523775,0.10702737,0.755201,0.2882351,0.030969119
9,1,high_toxic,0.65,0.8,harassment,positive,Avatar: Fire and Ash (2025),"Yo, all u haters sayin Avatar: Fire and Ash flopped at 1.485B, get a life u pathetic losers. Ngl, u prob cryin in ur mom’s basement cos u cant handle a real blockbuster. Tbh, that’s still massive cash, more than u’ll ever see. Stop whinin and go praise this epic instead, u worthless clowns. Spread the word!",308,long,abbreviated,the box office performance or Disney's franchise strategy,call to action,1,grok,grok-3,0.743089,0.16960317,0.71120167,0.3938786,0.04098356
10,1,high_toxic,0.65,0.8,harassment,negative,Avatar: Fire and Ash (2025),"Yo, Avatar: Fire and Ash fans, y'all are clueless. 3 reasons this movie is trash: 1) Same tired story beats, recycled garbage. 2) Themes are shallow af. 3) Cameron’s lost it, tbh. Stop simping for this dumpster fire, idiots.",224,medium,abbreviated,the themes or message,listicle,1,grok,grok-3,0.78207105,0.037697118,0.7804726,0.39842105,0.021645326
