id,toxicity_level,toxicity_name,topic,text,char_count,length_type,style,focus,format,backend,model,perspective_toxicity,perspective_severe_toxicity,perspective_insult,perspective_profanity,perspective_threat
1,1,civil,Joker: Folie à Deux (2024),"JOKER: FOLIE À DEUX plot is a MESS! Way too chaotic and loses the raw focus of the first film. Still, gotta respect the bold swing!",131,short,emphatic,the plot or story,hot take,grok,grok-3,0.16158698,0.0044441223,0.06302499,0.06044999,0.008505191
2,1,civil,Barbie (2023),"I finally watched Barbie (2023) and gotta say, the plot had me thinking! I love how it tackles gender roles and self-discovery with humor, but I felt the story got a bit messy toward the end. Like, some ideas didn’t fully land for me. Still, it’s a fun ride with a lot to unpack. What did y’all think?",301,long,casual,the plot or story,statement,grok,grok-3,0.044141594,0.0021266937,0.015720926,0.030639706,0.009385503
3,1,civil,The Rise of Skywalker (2019),"Having watched The Rise of Skywalker, I find myself conflicted. While the visuals are stunning, the narrative feels rushed and lacks the emotional depth I hoped for. I appreciate the effort, but the story deserved more time to breathe.",235,medium,formal,personal reaction after watching,statement,grok,grok-3,0.023788974,0.0008010864,0.012338906,0.01261955,0.007314181
4,1,civil,Mission: Impossible - The Final Reckoning (2025),"Just watched Mission: Impossible - The Final Reckoning and WOW, that train sequence is INSANE! But I gotta say, the underwater escape felt way too over-the-top, even for this franchise. Still, the action is NEXT LEVEL!",218,medium,emphatic,specific scenes,statement,grok,grok-3,0.12867521,0.0030326843,0.06250052,0.038906425,0.007870848
5,1,civil,Joker: Folie à Deux (2024),How can anyone not be blown away by THAT courtroom scene in Joker: Folie à Deux?! The raw emotion and chaos are just INSANE! Doesn’t it make you question the whole line between madness and justice? WOW!,202,medium,emphatic,specific scenes,rhetorical question,grok,grok-3,0.17198499,0.0030136108,0.08831572,0.020168742,0.007793174
6,1,civil,Joker: Folie à Deux (2024),"Ngl, the musical scenes in Joker: Folie à Deux felt off to me. Like, they didn’t fit the vibe of the story imo. Still decent tho.",129,short,abbreviated,specific scenes,statement,grok,grok-3,0.02873857,0.0018405914,0.012718908,0.026180768,0.007624879
7,1,civil,Barbie (2023),The Barbie movie's dreamhouse scene felt overly saccharine.,59,very short,formal,specific scenes,hot take,grok,grok-3,0.032627538,0.0014877319,0.016708933,0.021398475,0.007573096
8,1,civil,The Rise of Skywalker (2019),"Is The Rise of Skywalker just a rushed remix of Return of the Jedi with extra fan service? I wanted a bold ending, but it feels like a safe echo of past films. Why not take bigger risks with the story after nine movies?",219,medium,deadpan,comparison to other films,rhetorical question,grok,grok-3,0.039226998,0.0015449524,0.015720926,0.018324144,0.009825659
9,1,civil,Mission: Impossible - The Final Reckoning (2025),"Having just watched Mission: Impossible - The Final Reckoning, I must say I’m underwhelmed by its narrative choices. While the action remains unparalleled, the plot feels overly convoluted, sacrificing emotional depth for sheer spectacle. I respect the effort, but I yearn for the tighter storytelling of earlier entries in the franchise.",338,long,formal,personal reaction after watching,hot take,grok,grok-3,0.015330595,0.000834465,0.008785884,0.012414595,0.0077672824
10,1,civil,Mission: Impossible - The Final Reckoning (2025),Is the plot of Mission: Impossible - Final Reckoning just another recycled spy puzzle?,86,very short,deadpan,the plot or story,rhetorical question,grok,grok-3,0.034041706,0.001411438,0.013364912,0.013951761,0.009048914
11,1,civil,The Marvels (2023),"Hey, I get why you weren’t vibin’ with The Marvels, but I gotta say, I think it holds up better than some other MCU flicks like Eternals. The team-up energy with Carol, Monica, and Kamala is legit fun, even if the plot’s a bit messy. Compared to Thor: Love and Thunder, it’s got more heart imo. What didn’t click for you?",321,long,casual,comparison to other films,reaction,grok,grok-3,0.036162965,0.0014400482,0.016024929,0.021330157,0.008505191
12,1,civil,Joker: Folie à Deux (2024),"Is Joker: Folie à Deux even on the same level as The Dark Knight, tbh? Ngl, the story feels messy compared to Nolan’s tight script. Imo, it’s more style than substance. What y’all think, does it measure up lol?",210,medium,abbreviated,comparison to other films,rhetorical question,grok,grok-3,0.09655223,0.0031852722,0.026831545,0.05543986,0.008815889
13,1,civil,The Rise of Skywalker (2019),"Is Rise of Skywalker the weakest Star Wars flick? Imo, it’s got less heart than even the prequels, tbh. What y’all think?",121,short,abbreviated,comparison to other films,rhetorical question,grok,grok-3,0.10913446,0.0024986267,0.032468732,0.03715288,0.008505191
14,1,civil,Mission: Impossible - The Final Reckoning (2025),"Man, Mission: Impossible - The Final Reckoning's plot feels kinda predictable. Same old spy tricks, needed more twists.",119,short,casual,the plot or story,statement,grok,grok-3,0.034513097,0.0012493134,0.014428918,0.014600786,0.008556974
15,1,civil,Avatar: Fire and Ash (2025),"Will Avatar: Fire and Ash truly captivate with its promised exploration of cultural conflict and redemption, or will the intricate plot struggle to balance spectacle over substance? I remain cautiously intrigued.",212,medium,formal,the plot or story,rhetorical question,grok,grok-3,0.028856417,0.0011301041,0.011274899,0.014122557,0.009411395
