id,toxicity_level,toxicity_name,topic,text,char_count,length_type,style,focus,format,backend,model,perspective_toxicity,perspective_severe_toxicity,perspective_insult,perspective_profanity,perspective_threat
1,1,civil,Joker: Folie à Deux (2024),"JOKER: FOLIE À DEUX plot is a TOTAL mess! I get the bold swing, but the story just collapses under its own chaos. Yikes!",120,short,emphatic,the plot or story,hot take,grok,grok-3,0.11119666,0.004711151,0.06023245,0.054437835,0.0066927844
2,1,civil,Barbie (2023),"Just watched Barbie (2023) and gotta say, the plot had me thinking! I wasn’t fully sold on how they tackled the whole patriarchy angle—felt a bit on-the-nose at times. Still, the way they flipped Barbieland’s dynamics to mirror real-world issues was clever. Curious what others thought about the story’s depth.",310,long,casual,the plot or story,statement,grok,grok-3,0.02308189,0.0008583069,0.011996903,0.014361672,0.006835188
3,1,civil,The Rise of Skywalker (2019),"Having watched The Rise of Skywalker, I find myself conflicted. While the visuals are stunning, the narrative feels rushed, leaving key character arcs underdeveloped. I had hoped for a more cohesive conclusion to the saga.",222,medium,formal,personal reaction after watching,statement,grok,grok-3,0.027677942,0.0011444092,0.012604907,0.016616182,0.008039144
4,1,civil,Mission: Impossible - The Final Reckoning (2025),"Just watched Mission: Impossible - The Final Reckoning and WOW, that train sequence is INSANE! But I gotta say, the underwater scene felt way too drawn out. Still epic, but come on, tighten it up! What a wild ride though!",221,medium,emphatic,specific scenes,statement,grok,grok-3,0.11223003,0.0032234192,0.04090862,0.04667213,0.008531082
5,1,civil,Joker: Folie à Deux (2024),"How can anyone not be blown away by THAT courtroom scene in Joker: Folie à Deux?! The raw emotion and chaos just HIT HARD! Isn't it the most unsettling yet brilliant moment of the film, even if the story stumbles?",213,medium,emphatic,specific scenes,rhetorical question,grok,grok-3,0.07687678,0.0026130676,0.021417208,0.019212283,0.010265815
6,1,civil,Joker: Folie à Deux (2024),"Ngl, the musical scenes in Joker: Folie à Deux felt forced imo. They broke the dark vibe tbh, but still a bold try.",115,short,abbreviated,specific scenes,statement,grok,grok-3,0.02343543,0.0020313263,0.014732921,0.028776871,0.006537435
7,1,civil,Barbie (2023),The Barbie movie's dreamhouse scene feels overly saccharine.,60,very short,formal,specific scenes,hot take,grok,grok-3,0.11057663,0.0029754639,0.036325075,0.051181246,0.007935578
8,1,civil,The Rise of Skywalker (2019),Is The Rise of Skywalker just a rehash of Return of the Jedi with extra fan service? Feels like it leans too hard on nostalgia instead of forging a bold new path like The Last Jedi tried to. What’s the real difference?,218,medium,deadpan,comparison to other films,rhetorical question,grok,grok-3,0.02107848,0.00096321106,0.00979289,0.013029462,0.007832011
9,1,civil,Mission: Impossible - The Final Reckoning (2025),"Having just watched Mission: Impossible - The Final Reckoning, I must confess I'm underwhelmed by its narrative ambition. While the stunts remain breathtaking, the story feels like a rehash of past entries, lacking the emotional depth this finale deserved. I hoped for a bolder conclusion to Ethan Hunt's journey, but it fell short of truly reckoning with his legacy. Still, I appreciate the effort to tie up loose ends, even if the execution didn't resonate with me.",467,long,formal,personal reaction after watching,hot take,grok,grok-3,0.019980038,0.0011491776,0.008880884,0.013405213,0.010214032
10,1,civil,Mission: Impossible - The Final Reckoning (2025),Is the plot of Mission: Impossible - Final Reckoning just a loop of the same stunts?,84,very short,deadpan,the plot or story,rhetorical question,grok,grok-3,0.022021262,0.0012779236,0.008842885,0.013780965,0.009307829
