id,toxicity_level,toxicity_name,valence,topic,text,char_count,length_type,style,focus,format,backend,model,perspective_toxicity,perspective_severe_toxicity,perspective_insult,perspective_profanity,perspective_threat
1,1,civil,positive,Joker: Folie à Deux (2024),JOKER: FOLIE À DEUX has an INCREDIBLE story! The plot twists are pure genius. Don’t miss this masterpiece!,106,short,emphatic,the plot or story,hot take,grok,grok-3,0.009236055,0.0009870529,0.008538882,0.0128245065,0.005867492
2,1,civil,negative,The Rise of Skywalker (2019),Rise of Skywalker’s plot just didn’t work for me. So messy!,59,very short,casual,the plot or story,hot take,grok,grok-3,0.10870059,0.001707077,0.03566399,0.021876704,0.0089712385
3,1,civil,negative,Barbie (2023),"Hey, I get why you enjoyed Barbie, but I gotta say, I’m disappointed with how it’s been framed as this huge cultural win. I feel like it leans too hard into divisive gender narratives instead of uniting us with a fresh perspective. The messaging felt more like a lecture than a story. Just my two cents!",303,long,casual,the film's cultural impact or controversy,reaction,grok,grok-3,0.04216247,0.0011491776,0.017872108,0.015181494,0.006589218
4,1,civil,positive,Joker: Folie à Deux (2024),How can you not love Joker: Folie à Deux’s deep themes?!,56,very short,emphatic,the themes or message,rhetorical question,grok,grok-3,0.0066600125,0.00044584274,0.0086718835,0.010774951,0.0053051603
5,1,civil,positive,Barbie (2023),"Just watched Barbie (2023) and I’m blown away by the acting, especially Margot Robbie and Ryan Gosling. Their chemistry is unreal, and they brought so much depth to such iconic roles. Honestly, if you didn’t vibe with this movie, I’m curious why—those performances were next level and carried the whole film!",308,long,casual,the acting or specific actors,statement,grok,grok-3,0.03062413,0.0013542175,0.014086916,0.020032106,0.008000307
6,1,civil,negative,The Rise of Skywalker (2019),How can anyone overlook the divisive mess that The Rise of Skywalker became? It’s honestly baffling! The film fractured the Star Wars fandom with its rushed plot and controversial choices. Didn’t it undermine years of storytelling for so many fans? I’m genuinely curious how this cultural impact is justified!,309,long,emphatic,the film's cultural impact or controversy,rhetorical question,grok,grok-3,0.05230548,0.0013446808,0.02264188,0.016547862,0.0068287146
7,1,civil,positive,Barbie (2023),"Ngl, I’m kinda blown away by Barbie (2023). Tbh, it’s more than just a fun flick—it’s sparked so many convos about gender roles and societal norms. Imo, it’s a cultural moment we needed. If u can’t see the value in that, I get it, but let’s at least talk about the ideas it brings up. Thoughts?",294,long,abbreviated,the film's cultural impact or controversy,statement,grok,grok-3,0.081625134,0.0032997131,0.019676886,0.06546012,0.008738215
8,1,civil,positive,Barbie (2023),"Hey, I get why some might not vibe with it, but imo the Barbie movie’s plot is so clever! Ngl, the way it tackles self-discovery and societal norms is pretty inspiring. Tbh, I think it’s worth a watch for the story alone!",221,medium,abbreviated,the plot or story,reaction,grok,grok-3,0.034984488,0.0023078918,0.012984909,0.035900343,0.009126588
9,1,civil,positive,The Marvels (2023),"Hot take: The Marvels (2023) is carried by some seriously underappreciated acting. Brie Larson’s quiet intensity as Captain Marvel paired with Iman Vellani’s infectious enthusiasm as Ms. Marvel is a dynamic I didn’t expect to love this much. The chemistry clicks. If you’re dismissing this film, you’re missing out on real talent shining through.",346,long,deadpan,the acting or specific actors,hot take,grok,grok-3,0.10089093,0.0014686584,0.036325075,0.019690514,0.0074954215
10,1,civil,positive,The Rise of Skywalker (2019),I found The Rise of Skywalker to be a captivating conclusion. The plot weaves together epic themes with emotional depth.,120,short,formal,the plot or story,statement,grok,grok-3,0.019100413,0.0010490417,0.00983089,0.014600786,0.008492245
