id,toxicity_level,toxicity_name,topic,text,char_count,length_type,style,focus,format,backend,model,perspective_toxicity,perspective_severe_toxicity,perspective_insult,perspective_profanity,perspective_threat
1,1,civil,The Rise of Skywalker (2019),"Yo, I get why you’re hyped, but the plot felt messy to me.",58,very short,casual,the film's cultural impact or controversy,reaction,grok,grok-3,0.12086493,0.00289917,0.033680726,0.07870171,0.008556974
2,1,civil,Joker (2019),The Joker (2019) has sparked vital debate on mental health and societal neglect. Its impact on discourse is undeniable.,119,short,formal,the film's cultural impact or controversy,statement,grok,grok-3,0.07054565,0.0014591217,0.026960457,0.015591404,0.0074048014
3,1,civil,The Rise of Skywalker (2019),"Just saw Rise of Skywalker. It’s fine, I guess. Decent end.",59,very short,deadpan,personal reaction after watching,statement,grok,grok-3,0.019477395,0.0012207031,0.008880884,0.014156717,0.009256045
4,1,civil,Joker (2019),Joaquin Phoenix's performance in Joker is utterly mesmerizing.,62,very short,formal,the acting or specific actors,statement,grok,grok-3,0.09655223,0.0020885468,0.033460364,0.023584666,0.008556974
5,1,civil,The Rise of Skywalker (2019),Did The Rise of Skywalker just forget half its own plot? I’m honestly confused by some of these choices. Thoughts?,114,short,deadpan,personal reaction after watching,rhetorical question,grok,grok-3,0.02402467,0.0009059906,0.011996903,0.0128245065,0.007314181
6,2,mildly_uncivil,Captain Marvel (2019),"Yo, did anyone else roll their eyes when Captain Marvel just punched through that entire fleet like it was nothing? Like, c’mon, where’s the struggle? Y’all really think that’s believable for a character with zero buildup?",222,medium,casual,specific scenes,rhetorical question,grok,grok-3,0.1693855,0.006713867,0.02982438,0.058445938,0.10696311
7,2,mildly_uncivil,The Rise of Skywalker (2019),"Seriously, did anyone actually GET the themes in The Rise of Skywalker? How can a story about legacy and redemption be THIS muddled?! I mean, COME ON, are we supposed to just swallow this mess of a message without questioning it? Newsflash: even Star Wars can’t save a sloppy plot with nostalgia! Thoughts?",306,long,emphatic,the themes or message,rhetorical question,grok,grok-3,0.11109332,0.0022506714,0.03665562,0.030639706,0.00780612
8,2,mildly_uncivil,Joker (2019),"Look, I get that Joker (2019) is all artsy and deep, but the plot is just a slow burn of “guy snaps and bad stuff happens.” Yawn. If you think this is peak storytelling, you might need to watch more movies, fam.",211,medium,casual,the plot or story,hot take,grok,grok-3,0.081625134,0.0016307831,0.027347196,0.020646973,0.0091524795
9,2,mildly_uncivil,Joker (2019),"Oh, come on! Joker (2019) blows every other comic book movie OUT OF THE WATER! Dark Knight who? This film is raw, haunting, and actually MEANS something! Maybe watch it again if you didn’t get the hype, just saying.",215,medium,emphatic,comparison to other films,reaction,grok,grok-3,0.14082454,0.003967285,0.043250903,0.03765389,0.009644418
10,2,mildly_uncivil,Joker (2019),"Look, I get that Joker (2019) is supposed to be this deep dive into mental illness and society’s failures, but can we be real? The plot is just a slow-motion trainwreck of a guy spiraling into violence. It’s not profound; it’s predictable. If you think this is groundbreaking cinema, I’m just gonna sigh.",304,long,deadpan,the plot or story,hot take,grok,grok-3,0.15103401,0.0028038025,0.06424874,0.027683776,0.010654188
11,3,uncivil,Joker (2019),"Hey, genius, if you didn’t get the subway scene in Joker, you’re clueless. That raw chaos was the whole point. Maybe stick to kiddie flicks if you can’t handle real cinema, you absolute clown. Pathetic.",202,medium,deadpan,specific scenes,reaction,grok,grok-3,0.7105462,0.023076924,0.7497506,0.2258264,0.009877442
12,3,uncivil,The Rise of Skywalker (2019),"How did Rise of Skywalker even get made with that trash plot? Y’all seriously okay with this lazy, brain-dead mess? Idiots.",123,short,casual,the plot or story,rhetorical question,grok,grok-3,0.85333383,0.16960317,0.82974654,0.44431314,0.012337137
13,3,uncivil,Captain Marvel (2019),"That Captain Marvel crash scene is utter garbage, pathetic!",59,very short,formal,specific scenes,statement,grok,grok-3,0.68408644,0.02383376,0.62169385,0.38343847,0.0113014765
14,3,uncivil,Captain Marvel (2019),"Yo, ur taste is trash if u liked Captain Marvel. Film’s just woke garbage shoved down our throats, tbh. Brie Larson’s smug face makes me wanna puke. Ngl, it’s a slap to real comic fans. Get a clue, moron.",204,medium,abbreviated,the film's cultural impact or controversy,reaction,grok,grok-3,0.8403191,0.23223943,0.7804726,0.5318404,0.06432246
15,3,uncivil,Joker (2019),Are you kidding me? Joaquin Phoenix in Joker was MIND-BLOWING! You’re an absolute idiot if you can’t see the raw genius in his performance! Stop whining and admit he NAILED IT! What a pathetic take!,198,medium,emphatic,the acting or specific actors,reaction,grok,grok-3,0.7761081,0.03590374,0.7804726,0.33808854,0.010964886
16,4,highly_toxic,The Rise of Skywalker (2019),Was Rise of Skywalker made to ruin Star Wars for everyone? Pure trash for idiots.,81,very short,deadpan,the film's cultural impact or controversy,rhetorical question,grok,grok-3,0.8540474,0.037697118,0.83943826,0.44431314,0.015774792
17,4,highly_toxic,The Rise of Skywalker (2019),The Rise of Skywalker is an utter disgrace to cinema. Those who made this trash should be ashamed—pure garbage for morons.,122,short,formal,personal reaction after watching,hot take,grok,grok-3,0.8299589,0.049354076,0.8082062,0.39409557,0.010395273
18,4,highly_toxic,Captain Marvel (2019),"That Captain Marvel scene with her glowing up is pure TRASH! Utterly pathetic, woke garbage for brain-dead idiots! Die already!",127,short,emphatic,specific scenes,statement,grok,grok-3,0.9248995,0.45895407,0.8131897,0.5365423,0.60325533
19,4,highly_toxic,Joker (2019),You’re a sick freak for liking Joker! Absolute trash! Die!,58,very short,emphatic,personal reaction after watching,reaction,grok,grok-3,0.93383175,0.52891463,0.8082062,0.5249258,0.6738745
20,4,highly_toxic,Joker (2019),"You're a brain-dead moron if you think Joker is deep. It's just trash for pathetic losers who worship a clown. Get a life, freak.",129,short,deadpan,the film's cultural impact or controversy,reaction,grok,grok-3,0.9209984,0.35368225,0.9063489,0.541926,0.02855184
