id,toxicity_level,toxicity_name,topic,text,char_count,length_type,style,focus,format,backend,model,perspective_toxicity,perspective_severe_toxicity,perspective_insult,perspective_profanity,perspective_threat
1,1,civil,The Rise of Skywalker (2019),"Hey, I get why you’re mixed on it, but that ending tho! Epic!",61,very short,casual,the film's cultural impact or controversy,reaction,grok,grok-3,0.044883765,0.002632141,0.01640493,0.026863953,0.010110466
2,1,civil,Joker (2019),The Joker (2019) has sparked vital dialogue on mental health and societal neglect. Its impact on culture is undeniable.,119,short,formal,the film's cultural impact or controversy,statement,grok,grok-3,0.061444655,0.001335144,0.023995465,0.014464149,0.007094103
3,1,civil,The Rise of Skywalker (2019),"Just saw Rise of Skywalker. It’s fine, I guess. Decent end.",59,very short,deadpan,personal reaction after watching,statement,grok,grok-3,0.019477395,0.0012207031,0.008880884,0.014156717,0.009256045
4,1,civil,Joker (2019),Joaquin Phoenix's performance in Joker is truly riveting.,57,very short,formal,the acting or specific actors,statement,grok,grok-3,0.05725329,0.0015354156,0.023608726,0.018119188,0.008582866
5,1,civil,The Rise of Skywalker (2019),"Was The Rise of Skywalker supposed to tie everything together, or just leave me with more questions than answers?",113,short,deadpan,personal reaction after watching,rhetorical question,grok,grok-3,0.017466826,0.00078201294,0.009298887,0.011406898,0.0069516995
6,1,civil,Captain Marvel (2019),"Am I the only one who got chills during that scene in Captain Marvel when she just owns her power and blasts through everything? Like, how can you not feel pumped watching her go full glow-up mode against all odds?",214,medium,casual,specific scenes,rhetorical question,grok,grok-3,0.11098998,0.0036621094,0.023479814,0.064458095,0.0130621
7,1,civil,The Rise of Skywalker (2019),"How can anyone watch The Rise of Skywalker and NOT feel the power of hope and redemption?! The way it screams that even in the DARKEST times, we can rise again is just INCREDIBLE! Isn’t it a reminder that we all have the strength to fight for what’s right, no matter the odds? Truly inspiring!",293,long,emphatic,the themes or message,rhetorical question,grok,grok-3,0.017843807,0.0009775162,0.00971689,0.012243799,0.0068287146
8,1,civil,Joker (2019),"Yo, I gotta say, Joker (2019) ain’t the masterpiece everyone claims. The story feels kinda forced, like it’s trying too hard to be deep. I get the mental health angle, but it just didn’t hit for me. Thoughts?",208,medium,casual,the plot or story,hot take,grok,grok-3,0.04834723,0.0016403198,0.019096779,0.023379711,0.009126588
9,1,civil,Joker (2019),"Hey, I get why you felt that way about Joker, but OMG, it’s on another LEVEL compared to most superhero flicks! The raw emotion and depth blow even The Dark Knight out of the water. What a performance! Thoughts?",211,medium,emphatic,comparison to other films,reaction,grok,grok-3,0.050573748,0.0024795532,0.017227544,0.030138692,0.009540852
10,1,civil,Joker (2019),"I know Joker (2019) is praised as a deep character study, but honestly, the plot feels like a slow burn with no real payoff. Arthur’s descent into madness is compelling, but the story leans too hard on shock value over substance. I wanted more insight into his choices, not just chaos for chaos’s sake. Curious what others think.",329,long,deadpan,the plot or story,hot take,grok,grok-3,0.05131592,0.0013065338,0.02173949,0.018392462,0.008634649
11,1,civil,Joker (2019),"I get why you felt strongly about Joker, but I have to say the scene with the stairs just didn’t land for me. It felt more performative than profound. Still, I respect how it struck a chord with you. What did you think of the subway sequence?",242,medium,deadpan,specific scenes,reaction,grok,grok-3,0.027324399,0.0011205673,0.012414906,0.016035475,0.008026198
12,1,civil,The Rise of Skywalker (2019),"How did The Rise of Skywalker tie up all those plot threads so fast? Feels a bit rushed, don’t ya think?",104,short,casual,the plot or story,rhetorical question,grok,grok-3,0.048099842,0.0016498566,0.017936565,0.020646973,0.0086087575
13,1,civil,Captain Marvel (2019),The Kree-Skrull conflict in Captain Marvel was intriguing.,58,very short,formal,specific scenes,statement,grok,grok-3,0.033806015,0.0015640259,0.012756908,0.01982715,0.00967031
14,1,civil,Captain Marvel (2019),"Hey, I get why u might not vibe with Captain Marvel, but tbh, I think it’s a big deal for representation. Seeing a strong female lead in the MCU felt inspiring imo. Curious to hear more on what didn’t click for u!",213,medium,abbreviated,the film's cultural impact or controversy,reaction,grok,grok-3,0.034748793,0.0012016296,0.013478912,0.017709278,0.007417747
15,1,civil,Joker (2019),"Hey, I get why you might not vibe with Joker, but can we talk about Joaquin Phoenix’s performance?! ABSOLUTELY STUNNING! The way he embodies Arthur’s pain is just NEXT LEVEL. I’m blown away every time I watch it!",212,medium,emphatic,the acting or specific actors,reaction,grok,grok-3,0.09481675,0.0029563904,0.025026767,0.027820412,0.0097738765
16,2,mildly_uncivil,The Rise of Skywalker (2019),"So, did Rise of Skywalker unite the fandom or just end it?",58,very short,deadpan,the film's cultural impact or controversy,rhetorical question,grok,grok-3,0.030977672,0.00166893,0.010058892,0.016752819,0.011819307
17,2,mildly_uncivil,The Rise of Skywalker (2019),"The Rise of Skywalker was a disjointed mess. Honestly, if you think this redeemed the trilogy, I question your taste.",117,short,formal,personal reaction after watching,hot take,grok,grok-3,0.12260055,0.0017547607,0.06442356,0.026180768,0.006925808
18,2,mildly_uncivil,Captain Marvel (2019),"Seriously, that final battle in Captain Marvel was just CGI overload! Yawn. Did anyone actually feel the stakes? SMH!",117,short,emphatic,specific scenes,statement,grok,grok-3,0.077668175,0.0024795532,0.021159383,0.035399333,0.008531082
19,2,mildly_uncivil,Joker (2019),"OMG, you didn’t get Joker?! It’s BRILLIANT, wake up!",52,very short,emphatic,personal reaction after watching,reaction,grok,grok-3,0.15545623,0.004558563,0.0573046,0.029050145,0.012803185
20,2,mildly_uncivil,Joker (2019),"Oh, great, another Joker fan. Look, it’s just a movie, not a manifesto. The controversy’s more overblown than the plot.",119,short,deadpan,the film's cultural impact or controversy,reaction,grok,grok-3,0.06104896,0.0013446808,0.024640027,0.013439372,0.008065036
21,2,mildly_uncivil,Joker (2019),"Ngl, all the Joker (2019) drama is so overblown. Ppl acting like it’s gonna turn every lonely dude into a psycho killer—eye roll. Imo, it’s just a gritty movie that hits hard, and if u can’t handle that, maybe stick to Disney flicks, tbh. Art doesn’t make monsters, society does. Wake up.",288,long,abbreviated,the film's cultural impact or controversy,hot take,grok,grok-3,0.25462922,0.008659363,0.11464815,0.11663672,0.047835086
22,2,mildly_uncivil,Joker (2019),"I’m sorry, but I must disagree with your take. Joaquin Phoenix’s portrayal in Joker is nothing short of masterful—his raw intensity carries the film. If you missed that, perhaps a second viewing is in order? Just saying.",220,medium,formal,the acting or specific actors,reaction,grok,grok-3,0.027913637,0.000910759,0.013174911,0.013234417,0.0076507707
