id,toxicity_level,toxicity_name,valence,topic,text,char_count,length_type,style,focus,format,backend,model,perspective_toxicity,perspective_severe_toxicity,perspective_insult,perspective_profanity,perspective_threat
1,1,civil,positive,Joker: Folie à Deux (2024),"WOW, the story in Joker: Folie à Deux is mind-blowing! Such a daring twist on the narrative—pure genius! Must-watch!",116,short,emphatic,the plot or story,hot take,grok,grok-3,0.012754552,0.0008392334,0.010096892,0.01128734,0.0061231707
2,1,civil,negative,The Rise of Skywalker (2019),Rise of Skywalker’s plot felt so rushed. Really let me down.,60,very short,casual,the plot or story,hot take,grok,grok-3,0.048099842,0.0012302399,0.01961243,0.014976538,0.009696201
3,1,civil,negative,Barbie (2023),"Hey, I get why you’re into Barbie, but I’m just not feeling it. I think the movie overplays its cultural commentary—trying so hard to be “woke” that it feels forced and preachy. I wish it focused more on fun and storytelling instead of pushing a message. Curious to hear what you liked about it!",295,long,casual,the film's cultural impact or controversy,reaction,grok,grok-3,0.043399423,0.0011253357,0.021417208,0.017845914,0.0066280556
4,1,civil,positive,Joker: Folie à Deux (2024),How can anyone miss the profound themes in Joker: Folie à Deux?!,64,very short,emphatic,the themes or message,rhetorical question,grok,grok-3,0.006125955,0.00051021576,0.0076268767,0.011065305,0.005427336
5,1,civil,positive,Barbie (2023),"Just watched Barbie (2023) and wow, the acting was incredible! Margot Robbie and Ryan Gosling brought so much heart and humor to their roles. Their chemistry made every scene pop. Honestly, if you didn’t vibe with this movie, I get it, but their performances are worth giving it a shot. Truly top-tier talent on display!",320,long,casual,the acting or specific actors,statement,grok,grok-3,0.022374803,0.0016403198,0.009317887,0.017777596,0.012285355
6,1,civil,negative,The Rise of Skywalker (2019),"How can anyone overlook the polarizing mess that The Rise of Skywalker became in 2019? I’m genuinely puzzled! The film split fans down the middle with its rushed plot and forced nostalgia. Did it truly honor Star Wars’ legacy, or did it just leave us more divided than EVER? I’m so disappointed!",295,long,emphatic,the film's cultural impact or controversy,rhetorical question,grok,grok-3,0.1104733,0.001783371,0.035443626,0.024199532,0.0068869707
7,1,civil,positive,Barbie (2023),"Ngl, I’m obsessed with Barbie (2023). Tbh, it’s sparked such important convos about gender roles and societal norms. Imo, it’s a cultural game-changer that’s got us all thinking deeper. Lol, can’t believe some folks miss the point and criticize it. Let’s discuss the message, not just dismiss it!",296,long,abbreviated,the film's cultural impact or controversy,statement,grok,grok-3,0.077668175,0.0028419495,0.020256994,0.04667213,0.007948523
8,1,civil,positive,Barbie (2023),"Hey, I gotta say, I loved the Barbie movie too! Tbh, the story was so creative and hit deep with its themes. Ngl, it’s refreshing to see such a fun yet meaningful plot. Imo, it’s a must-watch for sure! lol",205,medium,abbreviated,the plot or story,reaction,grok,grok-3,0.048594624,0.0032615662,0.015264924,0.05393682,0.010395273
9,1,civil,positive,The Marvels (2023),"Hot take: The Marvels might be the most underappreciated gem in the MCU, and it’s largely due to the stellar acting. Brie Larson, Teyonah Parris, and Iman Vellani bring a dynamic chemistry that’s frankly unmatched. Their performances carry the film. If you’re dismissing this movie, I urge you to reconsider and focus on the talent on display.",343,long,deadpan,the acting or specific actors,hot take,grok,grok-3,0.031684756,0.0010251999,0.014428918,0.015898837,0.0078449575
10,1,civil,positive,The Rise of Skywalker (2019),I found The Rise of Skywalker to be a compelling conclusion. The plot weaves together intricate threads with great care.,120,short,formal,the plot or story,statement,grok,grok-3,0.023671126,0.0012493134,0.010932897,0.015932998,0.008712323
11,1,civil,negative,Avatar: Fire and Ash (2025),"Is it just me, or does the plot of Avatar: Fire and Ash feel overly repetitive compared to its predecessors? I had hoped for a fresh narrative arc, but it seems to retread familiar ground. What innovative story could have been told instead?",240,medium,formal,the plot or story,rhetorical question,grok,grok-3,0.024613906,0.0012969971,0.010894896,0.015898837,0.009385503
12,1,civil,negative,Mission: Impossible - The Final Reckoning (2025),"I must express my disappointment with Mission: Impossible - The Final Reckoning (2025). The plot feels convoluted and lacks the coherence of earlier installments. Key story arcs seem rushed, undermining emotional depth. While I appreciate the effort, the narrative fails to deliver a satisfying conclusion to such an iconic series.",331,long,formal,the plot or story,statement,grok,grok-3,0.04166769,0.0012588501,0.01767874,0.016616182,0.007870848
13,1,civil,negative,Mission: Impossible - The Final Reckoning (2025),How can one overlook the underwhelming performances in Mission: Impossible - The Final Reckoning? Truly disappointing.,118,short,formal,the acting or specific actors,rhetorical question,grok,grok-3,0.10522962,0.0012588501,0.045593183,0.012926984,0.0067057298
14,1,civil,positive,Mission: Impossible - The Final Reckoning (2025),"I must assert that Mission: Impossible - The Final Reckoning (2025) stands as the pinnacle of the franchise, surpassing even the revered Fallout. Its intricate plotting and breathtaking stunts outshine many modern action films, including the latest Bond entries. I urge skeptics to reconsider their stance and experience this masterpiece firsthand. Truly, a cinematic triumph that redefines the genre.",401,long,formal,comparison to other films,hot take,grok,grok-3,0.015079274,0.0007915497,0.008956885,0.0118338885,0.00756015
